"","ecode","onscode","authority","region","class","tstb2223","tstb2324","avebandd_expp2223","avebandd_expp2324"
"63","E1536","E07000071","Colchester","E","SD",64730.55,65865.1,205.47,211.58
"64","E0801","E06000052","Cornwall","SW","UA",203074.6192,206062.3,1717.11,1802.79
"65","E1632","E07000079","Cotswold","SW","SD",42192.9232,42374.2,143.93,148.93
"66","E4602","E08000026","Coventry","WM","MD",84264.3,86075.2,1819.88,1909.87
"67","E3834","E07000226","Crawley","SE","SD",35758.2,35952.7,218.79,225.34
"68","E5035","E09000008","Croydon","L","OLB",136370.8,137230.9,1570.07,1805.42
"69","E0901","E06000063","Cumberland","NW","UA",87047.2955,88328.6,1648.58,1730.84
"70","E1932","E07000096","Dacorum","E","SD",59328.3,59922.3,216.36,222.63
"71","E1301","E06000005","Darlington","NE","UA",34464.494,34814.5,1692.84,1777.33
"72","E2233","E07000107","Dartford","SE","SD",39544.2,40288.4,181.35,181.35
"73","E1001","E06000015","Derby","EM","UA",70030.6,71038.7,1577.93,1656.67
"74","E1035","E07000035","Derbyshire Dales","EM","SD",30539.4,30662.5,223.52,230.1
"75","E4402","E08000017","Doncaster","YH","MD",84601.8,85978.9,1511.03,1571.32
"76","E1203","E06000059","Dorset Council","SW","UA",150617.896,152424,1832.67,1905.93
"77","E2234","E07000108","Dover","SE","SD",39763.2,39974.4,202.14,208.17
"78","E4603","E08000027","Dudley","WM","MD",93790.9,93834.6,1493.87,1568.4
"79","E1302","E06000047","Durham","NE","UA",143695.827,145675.9,1754.69,1842.25
"80","E5036","E09000009","Ealing","L","OLB",118648.5,121612.9,1339.89,1406.75
"81","E0532","E07000009","East Cambridgeshire","E","SD",31115.3,31964.9,142.14,142.14
"82","E1131","E07000040","East Devon","SW","SD",60804.95477,61653.1,156.78,161.78
"83","E1732","E07000085","East Hampshire","SE","SD",51908.7,52581.3,139.14,141.92
"84","E1933","E07000242","East Hertfordshire","E","SD",62609.7,63892.8,184.09,189.59
"85","E2532","E07000137","East Lindsey","EM","SD",45793,46377,156.69,161.64
"86","E2001","E06000011","East Riding of Yorkshire","YH","UA",120900.3,122527.8,1620.78,1701.46
"87","E3432","E07000193","East Staffordshire","WM","SD",39059.2,40060,198.55,203.98
"88","E3538","E07000244","East Suffolk","E","SD",89023.4,90340.9,176.22,181.17
"89","E1432","E07000061","Eastbourne","SE","SD",34754,35294.8,261.85,269.68
"90","E1733","E07000086","Eastleigh","SE","SD",48373.4,48510.2,131.97,136.97
"91","E3631","E07000207","Elmbridge","SE","SD",65568.987,65980,236.3,243.35
"92","E5037","E09000010","Enfield","L","OLB",96369,96794,1446.12,1518.3
"93","E1537","E07000072","Epping Forest","E","SD",54865.3,54883.6,157.46,162.15
"94","E3632","E07000208","Epsom & Ewell","SE","SD",33251.4264,33521.1,213.21,219.6
"95","E1036","E07000036","Erewash","EM","SD",33826.4,34613,201.59,207.62
"96","E1132","E07000041","Exeter","SW","SD",37665.973,38247,170.05,175.13
"97","E1734","E07000087","Fareham","SE","SD",44002.6,44139.4,175.22,180.46
"98","E0533","E07000010","Fenland","E","SD",30663.9632,31059,260.46,255.24
"99","E2240","E07000112","Folkestone & Hythe","SE","SD",39172.2965,39977.1,279.09,287.37
"100","E1633","E07000080","Forest of Dean","SW","SD",30180.1774,30636.3,194.03,199.83
"101","E2335","E07000119","Fylde","NW","SD",31392,31989,219.19,218.89
"102","E4501","E08000037","Gateshead","NE","MD",52660.9,53354.9,1972.17,2070.54
"103","E3034","E07000173","Gedling","EM","SD",37776.4,38503.7,178.07,183.38
"104","E1634","E07000081","Gloucester","SW","SD",38453.83375,39072.6,216.99,223.48
"105","E1735","E07000088","Gosport","SE","SD",27154.16375,27056,240.75,247.95
"106","E2236","E07000109","Gravesham","SE","SD",34829.61875,35266.5,217.98,224.46
"107","E2633","E07000145","Great Yarmouth","E","SD",29343.567,29851,176.48,181.48
"108","E5012","E09000011","Greenwich","L","ILB",83695.5835,85713,1314.66,1380.26
"109","E3633","E07000209","Guildford","SE","SD",58335.9,59212.1,186.82,192.41
"110","E5013","E09000012","Hackney","L","ILB",73981,77108.8,1275.5,1339.15
"111","E0601","E06000006","Halton","NW","UA",35831,36241,1595.67,1675.29
"112","E5014","E09000013","Hammersmith and Fulham","L","ILB",82262.984,83936,831.96,871.86
"113","E2433","E07000131","Harborough","EM","SD",37389.4,38251.5,177.97,177.97
"114","E5038","E09000014","Haringey","L","OLB",79303,79717.8,1484.13,1558.18
"115","E1538","E07000073","Harlow","E","SD",27950,28483,288.9,288.9
"116","E5039","E09000015","Harrow","L","OLB",88785,89085,1646.5,1728.66
"117","E1736","E07000089","Hart","SE","SD",41815.9,42313.3,186.84,192.42
"118","E0701","E06000001","Hartlepool","NE","UA",24928,25342,1836.81,1926.81
"119","E1433","E07000062","Hastings","SE","SD",26237.02082,26473,281.67,290.09
"120","E1737","E07000090","Havant","SE","SD",41771.4,41898.3,219.48,226.06
"121","E5040","E09000016","Havering","L","OLB",89390,90128,1575.38,1653.99
"122","E1801","E06000019","Herefordshire","WM","UA",70252.5,71073.1,1701.7,1786.61
"123","E1934","E07000098","Hertsmere","E","SD",42800.1,43176.1,192.33,198.04
"124","E1037","E07000037","High Peak","EM","SD",31342.0034,31390,205.4,211.36
"125","E5041","E09000017","Hillingdon","L","OLB",103840.048,103625,1263.28,1326.32
"126","E2434","E07000132","Hinckley and Bosworth","EM","SD",39010.455,39421.3,144.87,149.87
"127","E3835","E07000227","Horsham","SE","SD",64021.518,64792.5,167.14,172.14
"128","E5042","E09000018","Hounslow","L","OLB",86769.4,89308.6,1378.59,1447.38
"129","E0551","E07000011","Huntingdonshire","E","SD",64501,65795,150.86,155.86
"130","E2336","E07000120","Hyndburn","NW","SD",21050,21944.7,260.64,260.64
"131","E3533","E07000202","Ipswich","E","SD",38920.8,39163.3,384.21,395.64
"132","E2101","E06000046","Isle of Wight Council","SE","UA",53879.9011,54087,1731.15,1817.61
"133","E4001","E06000053","Isles of Scilly","SW","UA",1242.9715,1233.9,1436,1507.62
"134","E5015","E09000019","Islington","L","ILB",80177.9,81882.2,1314.89,1380.52
"135","E5016","E09000020","Kensington and Chelsea","L","ILB",97279.97225,97732.2,986.61,1008.15
"136","E2634","E07000146","Kings Lynn and West Norfolk","E","SD",52610.5,52984.4,154.16,159.15
"137","E2002","E06000010","Kingston upon Hull","YH","UA",63988.04567,64983,1541.89,1618.83
"138","E5043","E09000021","Kingston upon Thames","L","OLB",63200.2,64568.8,1727.27,1813.46
"139","E4703","E08000034","Kirklees","YH","MD",121905.964,123215.8,1697.41,1782.11
"140","E4301","E08000011","Knowsley","NW","MD",37907,38820,1669.85,1753.18
"141","E5017","E09000022","Lambeth","L","ILB",111160.7,112731.1,1264.65,1327.76
"142","E2337","E07000121","Lancaster","NW","SD",42060,42579,241.95,249.18
"143","E4704","E08000035","Leeds","YH","MD",235758.018,239337.8,1566.76,1644.93
"144","E2401","E06000016","Leicester","EM","UA",77000.9985,79046,1745.74,1833
"145","E1435","E07000063","Lewes","SE","SD",36726.6,37839.4,219.53,221.55
"146","E5018","E09000023","Lewisham","L","ILB",88904.9,88848.5,1421.22,1492.13
"147","E3433","E07000194","Lichfield","WM","SD",39695.1,40534.4,187.85,187.85
"148","E2533","E07000138","Lincoln","EM","SD",25310,25249.5,290.79,299.25
"149","E4302","E08000012","Liverpool","NW","MD",108461,114506.4,1855.39,1947.97
"150","E0201","E06000032","Luton","E","UA",52738.1,54758.5,1662.17,1745.1
"151","E2237","E07000110","Maidstone","SE","SD",65896.2,67161.7,276.3,284.49
"152","E1539","E07000074","Maldon","E","SD",25524.3,25892.3,212.4,218.75
"153","E1851","E07000235","Malvern Hills","WM","SD",32119.0975,32871.2,172.6,177.6
"154","E4203","E08000003","Manchester","NW","MD",127620,131615.1,1541.34,1618.25
"155","E3035","E07000174","Mansfield","EM","SD",30557.3,30778.7,194.72,194.72
"156","E2201","E06000035","Medway","SE","UA",88041.5,89336.7,1591.74,1671.23
"157","E2436","E07000133","Melton","EM","SD",19358.4,19698.4,217.64,224.14
"158","E5044","E09000024","Merton","L","OLB",75754.6,77694.3,1385.84,1455.13
"159","E1133","E07000042","Mid Devon","SW","SD",29811.4245,29833,218.84,225.4
"160","E3534","E07000203","Mid Suffolk","E","SD",38853.2389,40127,171.59,171.59
"161","E3836","E07000228","Mid Sussex","SE","SD",63230.6,64664.2,180.36,185.31
"162","E0702","E06000002","Middlesbrough","NE","UA",35227.98054,35749,1809.67,1881.86
"163","E0401","E06000042","Milton Keynes","SE","UA",90364.4592,94196.2,1520.55,1596.43
"164","E3634","E07000210","Mole Valley","SE","SD",41308.047,41483.1,193.41,199.19
"165","E1738","E07000091","New Forest","SE","SD",72122.111,72271.7,188.36,193.99
"166","E3036","E07000175","Newark and Sherwood","EM","SD",41205,41791,185.56,189.16
"167","E4502","E08000021","Newcastle upon Tyne","NE","MD",67172,68667,1845.68,1919.32
"168","E3434","E07000195","Newcastle-under-Lyme","WM","SD",37667.966,38099,210.24,214.42
"169","E5045","E09000025","Newham","L","OLB",81872.4,85787.3,1136.67,1193.39
"170","E1134","E07000043","North Devon","SW","SD",34762.0355,35086,198.35,204.28
"171","E1038","E07000038","North East Derbyshire","EM","SD",32079.6,32603.6,198.34,204.27
"172","E2003","E06000012","North East Lincolnshire","YH","UA",45206.861,45710.4,1719.83,1788.27
"173","E1935","E07000099","North Hertfordshire","E","SD",49964.8,50663.6,245.13,252.46
"174","E2534","E07000139","North Kesteven","EM","SD",38300,39000,179.55,184.5
"175","E2004","E06000013","North Lincolnshire","YH","UA",50801,51270.5,1626.64,1654.96
"176","E2635","E07000147","North Norfolk","E","SD",41031.9,41085.9,158.67,163.62
"177","E2801","E06000061","North Northamptonshire","EM","UA",113047.0021,114279,1578.73,1657.51
"178","E0104","E06000024","North Somerset","SW","UA",79926.8045,81014.7,1550.03,1627.38
"179","E4503","E08000022","North Tyneside","NE","MD",62229,62692,1763.17,1851.15
"180","E3731","E07000218","North Warwickshire","WM","SD",21520.408,21786.8,222.3,228.86
"181","E2437","E07000134","North West Leicestershire","EM","SD",35581,36394,174.76,174.68
"182","E2702","E06000065","North Yorkshire","YH","UA",239742.3629,243033.6,1676.32,1759.96
"183","E2901","E06000057","Northumberland","NE","UA",108605.49,110152.3,1897.42,1985.34
"184","E2636","E07000148","Norwich","E","SD",37787.9775,38260.1,280.21,288.59
"185","E3001","E06000018","Nottingham","EM","UA",67540,68403,1955.32,2052.89
"186","E3732","E07000219","Nuneaton and Bedworth","WM","SD",39208.5288,39224.9,248.51,255.94
"187","E2438","E07000135","Oadby and Wigston","EM","SD",17602.1,17986.7,239.5,246.66
"188","E4204","E08000004","Oldham","NW","MD",57450,58500,1791.68,1863.16
"189","E3132","E07000178","Oxford","SE","SD",45193.19,45838.1,326.54,336.3
"190","E2338","E07000122","Pendle","NW","SD",23940.6,24776.4,281.5,289.92
"191","E0501","E06000031","Peterborough","E","UA",60494.8,61023.6,1511.65,1587.08
"192","E1101","E06000026","Plymouth","SW","UA",73830,74891,1669.88,1753.21
"193","E1701","E06000044","Portsmouth","SE","UA",57209.6616,57480.6,1570.46,1648.87
"194","E2339","E07000123","Preston","NW","SD",39769,41098,333.63,343.6
"195","E0303","E06000038","Reading","SE","UA",57059.5528,57826.6,1829.72,1921.02
"196","E5046","E09000026","Redbridge","L","OLB",90865,90472,1468.35,1541.61
"197","E0703","E06000003","Redcar and Cleveland","NE","UA",40336.362,40706.2,1739.97,1809.45
"198","E1835","E07000236","Redditch","WM","SD",26546.6,26305,254.15,261.75
"199","E3635","E07000211","Reigate and Banstead","SE","SD",62274.663,63495.3,242.46,249.71
"200","E2340","E07000124","Ribble Valley","NW","SD",24553,24980,160.69,165.69
"201","E5047","E09000027","Richmond upon Thames","L","OLB",88703,89289.3,1625.94,1707.07
"202","E4205","E08000005","Rochdale","NW","MD",56231.955,57552,1779.01,1867.78
"203","E1540","E07000075","Rochford","E","SD",32707.6145,32888.9,245.16,252.45
"204","E2341","E07000125","Rossendale","NW","SD",20579.9841,20828,290.8,299.49
"205","E1436","E07000064","Rother","SE","SD",38227.1,38520.7,211.74,218.09
"206","E4403","E08000018","Rotherham","YH","MD",71454,72149,1687.24,1754.73
"207","E3733","E07000220","Rugby","WM","SD",39485.02214,40434.6,204.72,210.84
"208","E3636","E07000212","Runnymede","SE","SD",34523.964,34864.6,179.55,184.92
"209","E3038","E07000176","Rushcliffe","EM","SD",45387.6,46068.4,168.92,172.63
"210","E1740","E07000092","Rushmoor","SE","SD",32795.294,32959.1,219.42,225.98
"211","E2402","E06000017","Rutland","EM","UA",15798.9,15916.6,1917.36,2013.04
"212","E4206","E08000006","Salford","NW","MD",71905.006,73859,1773.76,1862.28
"213","E4604","E08000028","Sandwell","WM","MD",74858.5,76764.7,1575.88,1654.52
"214","E4304","E08000014","Sefton","NW","MD",84170.4,85663.6,1765.78,1853.9
"215","E2239","E07000111","Sevenoaks","SE","SD",51514.27598,51990.3,229.86,236.7
"216","E4404","E08000019","Sheffield","YH","MD",143312.6,145489.6,1753.21,1840.69
"217","E3202","E06000051","Shropshire","WM","UA",115485.3,118106.1,1561.11,1639.01
"218","E0304","E06000039","Slough","SE","UA",42286.2,43160.1,1534.86,1688.19
"219","E4605","E08000029","Solihull","WM","MD",78256.03785,79168,1517.04,1592.74
"220","E3301","E06000066","Somerset","SW","UA",200747.07,205674,1568.87,1647.11
"221","E0536","E07000012","South Cambridgeshire","E","SD",65432,67330.7,160.31,165.31
"222","E1039","E07000039","South Derbyshire","EM","SD",36702,37662.6,172.91,174.64
"223","E0103","E06000025","South Gloucestershire","SW","UA",100143.0205,101695,1668.84,1752.11
"224","E1136","E07000044","South Hams","SW","SD",39139.70275,39949,180.42,185.42
"225","E2535","E07000140","South Holland","EM","SD",29393,29841,197.56,203.47
"226","E2536","E07000141","South Kesteven","EM","SD",48706.7,49329,173.58,178.58
"227","E2637","E07000149","South Norfolk","E","SD",51430,52335,165.14,165.14
"228","E3133","E07000179","South Oxfordshire","SE","SD",60343.732,61349.5,136.24,141.24
"229","E2342","E07000126","South Ribble","NW","SD",36584.9,37153.3,223.24,223.24
"230","E3435","E07000196","South Staffordshire","WM","SD",39066.2,39608.6,130.34,135.34
"231","E4504","E08000023","South Tyneside","NE","MD",39015.6,39502.8,1743.33,1829.62
"232","E1702","E06000045","Southampton","SE","UA",66146.0005,67057,1644.39,1726.47
"233","E1501","E06000033","Southend-on-Sea","E","UA",59086.677,59746.1,1554.39,1631.88
"234","E5019","E09000028","Southwark","L","ILB",107267,109174.1,1198.95,1258.78
"235","E3637","E07000213","Spelthorne","SE","SD",39223.2,39949.2,210.05,216.14
"236","E1936","E07000240","St Albans","E","SD",63368.118,63713.5,190.41,196.1
"237","E4303","E08000013","St Helens","NW","MD",53290,53317,1625.99,1707.13
"238","E3436","E07000197","Stafford","WM","SD",48490.4,48863.5,165.38,168.52
"239","E3437","E07000198","Staffordshire Moorlands","WM","SD",33510.0318,33374,175.54,175.43
"240","E1937","E07000243","Stevenage","E","SD",28003.7,28153.1,225.57,232.31
"241","E4207","E08000007","Stockport","NW","MD",96883.13125,97533.3,1811.15,1883.41
"242","E0704","E06000004","Stockton-on-Tees","NE","UA",57628.3,58668.8,1764.71,1851.18
"243","E3401","E06000021","Stoke-on-Trent","WM","UA",65185.248,66532.1,1468.08,1541.34
"244","E3734","E07000221","Stratford-on-Avon","WM","SD",59076.0344,60188.2,154.12,159.12
"245","E1635","E07000082","Stroud","SW","SD",46441.5732,46506,222.52,229.17
"246","E4505","E08000024","Sunderland","NE","MD",72161,73619,1589.59,1637.12
"247","E3638","E07000214","Surrey Heath","SE","SD",38976.2,39613.4,238.46,245.44
"248","E5048","E09000029","Sutton","L","OLB",73468.3,73959.8,1537.53,1614.24
"249","E2241","E07000113","Swale","SE","SD",48939.5,49673.5,189.27,194.94
"250","E3901","E06000030","Swindon","SW","UA",76784,77773.6,1536.15,1612.8
"251","E4208","E08000008","Tameside","NW","MD",63306,63532.5,1652.14,1734.58
"252","E3439","E07000199","Tamworth","WM","SD",22968.0253,23376,191.89,196.89
"253","E3639","E07000215","Tandridge","SE","SD",38692.90001,38904.9,230.98,237.88
"254","E1137","E07000045","Teignbridge","SW","SD",49633.0387,50215,185.17,190.71
"255","E3201","E06000020","Telford and the Wrekin","WM","UA",54009.3,55315.9,1435.23,1463.93
"256","E1542","E07000076","Tendring","E","SD",49892.2,51050,182.64,188.11
"257","E1742","E07000093","Test Valley","SE","SD",51338.01,51968.4,160.53,165.52
"258","E1636","E07000083","Tewkesbury","SW","SD",35811.22,36781.4,134.36,139.36
"259","E2242","E07000114","Thanet","SE","SD",44975.168,45759.5,248.13,255.54
"260","E1938","E07000102","Three Rivers","E","SD",39259.791,39545.2,188.9,194.55
"261","E1502","E06000034","Thurrock","E","UA",51657.012,51953,1441.26,1585.17
"262","E2243","E07000115","Tonbridge and Malling","SE","SD",52246.9,52706.3,224.5,231.23
"263","E1102","E06000027","Torbay","SW","UA",46194.8,46620.1,1690.06,1774.39
