"","ecode","onscode","authority","region","class","tstb2223","tstb2324","avebandd_expp2223","avebandd_expp2324"
"302","E2701","E06000014","York","YH","UA",68220.38,68633.1,1495.78,1570.42
"317","E7050","E23000036","Avon & Somerset Police and Crime Commissioner","SW","PCC",576588,586647.7,251.2,266.2
"318","E6101","E31000001","Avon Fire Authority","SW","CFA",375841,380974,77.95,82.95
"319","E6102","E31000002","Bedfordshire Fire and Rescue Authority","EE","CFA",224040,228807,104.45,109.45
"320","E7002","E23000026","Bedfordshire Police and Crime Commissioner","EE","PCC",224040,228807.5,237.09,252.09
"321","E6103","E31000003","Berkshire Combined Fire Authority","SE","CFA",358587.5,363632.37,73.95,78.95
"322","E6104","E31000004","Buckinghamshire and Milton Keynes Fire Authority","SE","CFA",315395.3,323194.2,72.16,77.16
"323","E0521","E10000003","Cambridgeshire","EE","SC",235811.9,240987,1469.61,1542.87
"324","E6105","E31000005","Cambridgeshire and Peterborough Fire Authority","EE","CFA",296306.7,302010.6,74.97,79.92
"325","E7005","E23000023","Cambridgeshire Police and Crime Commissioner","EE","PCC",296306.7,302010.6,257.58,272.52
"326","E6356","E47000008","Cambridgeshire and Peterborough Combined Authority","EE","CA",0,302011.6,0,12
"327","E6106","E31000006","Cheshire Fire Authority","NW","CFA",387441.1,393185.4,82.48,87.48
"328","E7006","E23000006","Cheshire Police and Crime Commissioner","NW","PCC",387441.1,393185.4,235.44,250.44
"329","E6107","E31000007","Cleveland Fire Authority","NE","CFA",158120.7,160466,81.86,86.86
"330","E7007","E23000013","Cleveland Police and Crime Commissioner","NE","PCC",158120.7,160466,275.73,290.73
"331","E7009","E23000002","Cumbria Police, Fire and Crime Commissioner - Police","NW","PCC",173964.2,176043.4,282.15,297.09
"332","E6135","E31000009","Cumbria Police, Fire and Crime Commissioner - Fire","NW","CFA",0,176043.4,85.61,90.54
"333","E1021","E10000007","Derbyshire","EM","SC",257097.9,261141.2,1424.56,1477.98
"334","E6110","E31000010","Derbyshire Fire and Rescue Authority","EM","CFA",327128.5,332179.9,80.84,85.84
"335","E7010","E23000018","Derbyshire Police and Crime Commissioner","EM","PCC",327128.5,332179.9,251.6,266.6
"336","E7051","E23000035","Devon & Cornwall Police and Crime Commissioner","SW","PCC",621294.3,629765.7,246.56,261.56
"337","E1121","E10000008","Devon","SW","SC",296951.9,300958.4,1556.46,1634.13
"338","E6161","E31000011","Devon and Somerset Fire and Rescue Authority","SW","CFA",617809.5,628143.6,91.79,96.79
"339","E6162","E31000047","Dorset and Wiltshire Fire and Rescue Authority","SW","CFA",560180.3,568179.5,79.43,84.43
"340","E7012","E23000039","Dorset Police and Crime Commissioner","SW","PCC",293431.9,297263,265.58,280.58
"341","E6113","E31000013","Durham and Darlington Fire and Rescue Authority","NE","CFA",178160.3,180490.4,109.69,114.69
"342","E7013","E23000008","Durham Police and Crime Commissioner","NE","PCC",178160.3,180490.4,240.24,255.24
"343","E1421","E10000011","East Sussex","SE","SC",203532.3,205921.2,1613.34,1693.8
"344","E6114","E31000014","East Sussex Fire Authority","SE","CFA",294736.3,297907.5,99.37,104.37
"345","E1521","E10000012","Essex","EE","SC",544924.5,550992.18,1401.12,1450.17
"346","E6115","E31000015","Essex Police, Fire and Crime Commissioner - Fire","EE","CFA",655667.2,662691.3,75.33,80.28
"347","E7015","E23000028","Essex Police, Fire and Crime Commissioner - Police","EE","PCC",655667.2,663222.3,218.52,233.46
"348","E1620","E10000013","Gloucestershire","SW","SC",236503.5,239020.4,1451.36,1523.78
"349","E7016","E23000037","Gloucestershire Police and Crime Commissioner","SW","PCC",236503.5,239020.4,280.08,295.08
"350","E1721","E10000014","Hampshire","SE","SC",530659,535361.5,1390.86,1460.25
"351","E6163","E31000048","Hampshire and Isle of Wight Fire and Rescue Authority","SE","CFA",707894.6,713986.1,75.43,80.43
"352","E7052","E23000030","Hampshire Police and Crime Commissioner","SE","PCC",707894.6,713986.1,236.46,251.46
"353","E6118","E31000018","Hereford & Worcester Fire Authority","WM","CFA",285996.1,288296.3,89.4,94.4
"354","E1920","E10000015","Hertfordshire","EE","SC",458445.5,464603,1529.31,1605.63
"355","E7019","E23000027","Hertfordshire Police and Crime Commissioner","EE","PCC",458445.5,464603,223,238
"356","E6120","E31000020","Humberside Fire Authority","YH","CFA",280896.2,284491.7,90.11,95.1
"357","E7020","E23000012","Humberside Police and Crime Commissioner","YH","PCC",280896.2,284491.7,253.2,268.19
"358","E2221","E10000016","Kent","SE","SC",563284.9,571478.4,1461.24,1534.23
"359","E6122","E31000022","Kent and Medway Fire Authority","SE","CFA",651326.4,660815,82.35,87.3
"360","E7022","E23000032","Kent Police and Crime Commissioner","SE","PCC",651326.4,660815.1,228.15,243.15
"361","E2321","E10000017","Lancashire","NW","SC",377198.7,383826.6,1514.29,1574.71
"362","E6123","E31000023","Lancashire Combined Fire Authority","NW","CFA",449778,457949,77.27,82.27
"363","E7023","E23000003","Lancashire Police and Crime Commissioner","NW","PCC",449778,457949.4,236.45,251.45
"364","E2421","E10000018","Leicestershire","EM","SC",242006.6,245307.9,1452.96,1525.46
"365","E6124","E31000024","Leicestershire Combined Fire Authority","EM","CFA",334806.5,340270.5,74.29,79.29
"366","E7024","E23000021","Leicestershire Police and Crime Commissioner","EM","PCC",334806.5,340270.5,258.23,273.23
"367","E2520","E10000019","Lincolnshire","EM","SC",238592.2,241767.2,1432.17,1503.63
"368","E7025","E23000020","Lincolnshire Police and Crime Commissioner","EM","PCC",238592.2,241767.2,276.3,291.24
"369","E6349","E47000004","Liverpool City Region Combined Authority","NW","CA",414831.8,424133,19,19
"370","E6143","E31000041","Merseyside Fire and Rescue Authority","NW","MF",379000.8,387892,83.61,88.61
"371","E7043","E23000004","Merseyside Police and Crime Commissioner","NW","PCC",379000.8,387892,236.97,251.97
"372","E2620","E10000020","Norfolk","EE","SC",304692.3,308568.8,1516.95,1592.64
"373","E7026","E23000024","Norfolk Police and Crime Commissioner","EE","PCC",304692.3,308568.8,288,302.94
"374","E6358","E47000011","North of Tyne Mayoral Combined Authority","YH","CA",0,0,0,0
"375","E6127","E31000027","North Yorkshire Police, Fire and Crime Commissioner - Fire","YH","CFA",307962.8,311666.7,75.61,80.61
"376","E7027","E23000009","North Yorkshire Police, Fire and Crime Commissioner - Police","EM","PCC",307962.8,311666.7,281.06,295.09
"377","E6128","E31000028","Northamptonshire Police, Fire and Crime Commissioner - Fire","EM","CFA",252651,256339.8,68.2,73.2
"378","E7028","E23000022","Northamptonshire Police, Fire and Crime Commissioner - Police","NE","PCC",252651,256339.8,278.04,293.04
"379","E7045","E23000007","Northumbria Police and Crime Commissioner","NE","PCC",401844.4,407988.2,153.84,168.84
"380","E3021","E10000024","Nottinghamshire","EM","SC",259905.8,263692.4,1644.09,1723.66
"381","E6130","E31000030","Nottinghamshire & City of Nottingham  Fire Authority","EM","CFA",327445.8,332095,84.57,89.57
"382","E7030","E23000019","Nottinghamshire Police and Crime Commissioner","SE","PCC",327445.8,332095.4,254.25,269.19
"383","E3120","E10000025","Oxfordshire","SE","SC",263873.7,269115.6,1651.61,1734.03
"384","E6132","E31000032","Shropshire and Wrekin Fire and Rescue Authority","WM","CFA",169494.6,173422,106.27,111.16
"385","E6144","E31000042","South Yorkshire Fire and Rescue Authority","YH","MF",365953.3,370064.4,77.58,82.58
"386","E6350","E47000002","South Yorkshire Mayoral Combined Authority","YH","CA",0,0,0,0
"387","E7044","E23000011","South Yorkshire Police and Crime Commissioner","YH","PCC",365953.3,370064.3,223.04,238.04
"388","E3421","E10000028","Staffordshire","WM","SC",289915,293766.6,1401.3,1471.23
"389","E6134","E31000033","Staffordshire Police, Fire and Crime Commissioner - Fire","WM","CFA",355100.2,360299.1,80.35,84.25
"390","E7034","E23000015","Staffordshire Police, Fire and Crime Commissioner - Police","WM","PCC",355100.2,360299.1,248.57,260.57
"391","E3520","E10000029","Suffolk","EE","SC",259082.2,263055.3,1438.92,1496.43
"392","E7035","E23000025","Suffolk Police and Crime Commissioner","EE","PCC",259082.2,263055.3,247.68,262.62
"393","E3620","E10000030","Surrey","SE","SC",510161.4,517004.1,1626.39,1675.08
"394","E7036","E23000031","Surrey Police and Crime Commissioner","SE","PCC",510161.4,517004.1,295.57,310.57
"395","E7053","E23000033","Sussex Police and Crime Commissioner","SE","PCC",636711.5,645107.7,224.91,239.91
"396","E6355","E47000006","Tees Valley Combined Authority","NE","CA",0,0,0,0
"397","E7054","E23000029","Thames Valley Police and Crime Commissioner","SE","PCC",937856.5,955942,241.28,256.28
"398","E6145","E31000043","Tyne and Wear Fire and Rescue Authority","NE","MF",293239,297836,87.35,92.35
"399","E3720","E10000031","Warwickshire","WM","SC",215689.5,219304.2,1590.93,1653.57
"400","E7037","E23000017","Warwickshire Police and Crime Commissioner","WM","PCC",215689.5,219304.2,262.71,276.71
"401","E7055","E23000016","West Mercia Police and Crime Commissioner","WM","PCC",455490.7,461718.3,249.66,264.5
"402","E6146","E31000044","West Midlands Fire and Rescue Authority","WM","MF",726272,737707.31,68.03,73.02
"403","E7046","E23000014","West Midlands Police and Crime Commissioner","WM","PCC",726272,737707.3,187.55,202.55
"404","E6346","E47000007","West Midlands Combined Authority","WM","CA",0,0,0,0
"405","E3820","E10000032","West Sussex","SE","SC",342375,347199.8,1555.74,1633.41
"406","E6147","E31000045","West Yorkshire Fire and Rescue Authority","YH","MF",668224.1,675184.2,72.18,77.18
"407","E7039","E23000038","Wiltshire Police and Crime Commissioner","SW","PCC",266748.4,270916.5,241.27,256.27
"408","E1821","E10000034","Worcestershire","WM","SC",215743.6,217223.2,1396.78,1465.78
