"","ecode","onscode","authority","region","class","tstb_2223","tstb_2324","areabandd_2324"
"186","E3732","E07000219","Nuneaton and Bedworth","WM","SD",39208.5288,39224.9,2186.22
"187","E2438","E07000135","Oadby and Wigston","EM","SD",17602.1,17986.7,2124.64
"188","E4204","E08000004","Oldham","NW","MD",57450,58500,2220.03
"189","E3132","E07000178","Oxford","SE","SD",45193.19,45838.1,2332.44
"190","E2338","E07000122","Pendle","NW","SD",23940.6,24776.4,2301.54
"191","E0501","E06000031","Peterborough","E","UA",60494.8,61023.6,1963.41
"192","E1101","E06000026","Plymouth","SW","UA",73830,74891,2111.56
"193","E1701","E06000044","Portsmouth","SE","UA",57209.6616,57480.6,1980.76
"194","E2339","E07000123","Preston","NW","SD",39769,41098,2262.11
"195","E0303","E06000038","Reading","SE","UA",57059.5528,57826.6,2256.25
"196","E5046","E09000026","Redbridge","L","OLB",90865,90472,1975.75
"197","E0703","E06000003","Redcar and Cleveland","NE","UA",40336.362,40706.2,2201.48
"198","E1835","E07000236","Redditch","WM","SD",26546.6,26305,2087.19
"199","E3635","E07000211","Reigate and Banstead","SE","SD",62274.663,63495.3,2244.3
"200","E2340","E07000124","Ribble Valley","NW","SD",24553,24980,2097.22
"201","E5047","E09000027","Richmond upon Thames","L","OLB",88703,89289.3,2141.21
"202","E4205","E08000005","Rochdale","NW","MD",56231.955,57552,2219.03
"203","E1540","E07000075","Rochford","E","SD",32707.6145,32888.9,2076.12
"204","E2341","E07000125","Rossendale","NW","SD",20579.9841,20828,2210.82
"205","E1436","E07000064","Rother","SE","SD",38227.1,38520.7,2326.71
"206","E4403","E08000018","Rotherham","YH","MD",71454,72149,2126.09
"207","E3733","E07000220","Rugby","WM","SD",39485.02214,40434.6,2165.97
"208","E3636","E07000212","Runnymede","SE","SD",34523.964,34864.6,2170.57
"209","E3038","E07000176","Rushcliffe","EM","SD",45387.6,46068.4,2310.53
"210","E1740","E07000092","Rushmoor","SE","SD",32795.294,32959.1,2018.12
"211","E2402","E06000017","Rutland","EM","UA",15798.9,15916.6,2421.58
"212","E4206","E08000006","Salford","NW","MD",71905.006,73859,2213.53
"213","E4604","E08000028","Sandwell","WM","MD",74858.5,76764.7,1930.09
"214","E4304","E08000014","Sefton","NW","MD",84170.4,85663.6,2230.11
"215","E2239","E07000111","Sevenoaks","SE","SD",51514.27598,51990.3,2201.99
"216","E4404","E08000019","Sheffield","YH","MD",143312.6,145489.6,2165.85
"217","E3202","E06000051","Shropshire","WM","UA",115485.3,118106.1,2100.66
"218","E0304","E06000039","Slough","SE","UA",42286.2,43160.1,2027.23
"219","E4605","E08000029","Solihull","WM","MD",78256.03785,79168,1888.34
"220","E3301","E06000066","Somerset","SW","UA",200747.07,205674,2116.09
"221","E0536","E07000012","South Cambridgeshire","E","SD",65432,67330.7,2176.05
"222","E1039","E07000039","South Derbyshire","EM","SD",36702,37662.6,2032.62
"223","E0103","E06000025","South Gloucestershire","SW","UA",100143.0205,101695,2191.31
"224","E1136","E07000044","South Hams","SW","SD",39139.70275,39949,2261.19
"225","E2535","E07000140","South Holland","EM","SD",29393,29841,2036.22
"226","E2536","E07000141","South Kesteven","EM","SD",48706.7,49329,2015.47
"227","E2637","E07000149","South Norfolk","E","SD",51430,52335,2153.48
"228","E3133","E07000179","South Oxfordshire","SE","SD",60343.732,61349.5,2240.14
"229","E2342","E07000126","South Ribble","NW","SD",36584.9,37153.3,2142.31
"230","E3435","E07000196","South Staffordshire","WM","SD",39066.2,39608.6,2017.39
"231","E4504","E08000023","South Tyneside","NE","MD",39015.6,39502.8,2090.81
"232","E1702","E06000045","Southampton","SE","UA",66146.0005,67057,2058.36
"233","E1501","E06000033","Southend-on-Sea","E","UA",59086.677,59746.1,1953.35
"234","E5019","E09000028","Southwark","L","ILB",107267,109174.1,1692.92
"235","E3637","E07000213","Spelthorne","SE","SD",39223.2,39949.2,2201.79
"236","E1936","E07000240","St Albans","E","SD",63368.118,63713.5,2093.99
"237","E4303","E08000013","St Helens","NW","MD",53290,53317,2073.68
"238","E3436","E07000197","Stafford","WM","SD",48490.4,48863.5,2011.85
"239","E3437","E07000198","Staffordshire Moorlands","WM","SD",33510.0318,33374,2038.19
"240","E1937","E07000243","Stevenage","E","SD",28003.7,28153.1,2075.94
"241","E4207","E08000007","Stockport","NW","MD",96883.13125,97533.3,2234.66
"242","E0704","E06000004","Stockton-on-Tees","NE","UA",57628.3,58668.8,2245.22
"243","E3401","E06000021","Stoke-on-Trent","WM","UA",65185.248,66532.1,1886.16
"244","E3734","E07000221","Stratford-on-Avon","WM","SD",59076.0344,60188.2,2158.66
"245","E1635","E07000082","Stroud","SW","SD",46441.5732,46506,2154.98
"246","E4505","E08000024","Sunderland","NE","MD",72161,73619,1899.13
"247","E3638","E07000214","Surrey Heath","SE","SD",38976.2,39613.4,2247.84
"248","E5048","E09000029","Sutton","L","OLB",73468.3,73959.8,2048.38
"249","E2241","E07000113","Swale","SE","SD",48939.5,49673.5,2094.44
"250","E3901","E06000030","Swindon","SW","UA",76784,77773.6,2086.2
"251","E4208","E08000008","Tameside","NW","MD",63306,63532.5,2086.33
"252","E3439","E07000199","Tamworth","WM","SD",22968.0253,23376,2012.94
"253","E3639","E07000215","Tandridge","SE","SD",38692.90001,38904.9,2252.48
"254","E1137","E07000045","Teignbridge","SW","SD",49633.0387,50215,2279.3
"255","E3201","E06000020","Telford and the Wrekin","WM","UA",54009.3,55315.9,1935.6
"256","E1542","E07000076","Tendring","E","SD",49892.2,51050,1998.6
"257","E1742","E07000093","Test Valley","SE","SD",51338.01,51968.4,1995.82
"258","E1636","E07000083","Tewkesbury","SW","SD",35811.22,36781.4,2028.92
"259","E2242","E07000114","Thanet","SE","SD",44975.168,45759.5,2173.17
"260","E1938","E07000102","Three Rivers","E","SD",39259.791,39545.2,2098.54
"261","E1502","E06000034","Thurrock","E","UA",51657.012,51953,1898.91
"262","E2243","E07000115","Tonbridge and Malling","SE","SD",52246.9,52706.3,2166.71
"263","E1102","E06000027","Torbay","SW","UA",46194.8,46620.1,2141.2
"264","E1139","E07000046","Torridge","SW","SD",24447.08,24749.9,2255.27
"265","E5020","E09000030","Tower Hamlets","L","ILB",108213.3,112950.4,1581.02
"266","E4209","E08000009","Trafford","NW","MD",77601.0294,78464,1878.08
"267","E2244","E07000116","Tunbridge Wells","SE","SD",46479.615,47402.1,2135.17
"268","E1544","E07000077","Uttlesford","E","SD",38435.728,39007.2,2044.67
"269","E3134","E07000180","Vale of White Horse","SE","SD",55362.802,56664.9,2230.6
"270","E4705","E08000036","Wakefield","YH","MD",104633,105564,1980.54
"271","E4606","E08000030","Walsall","WM","MD",71803.4,72608.7,2261.05
"272","E5049","E09000031","Waltham Forest","L","OLB",78615,80121,2055.55
"273","E5021","E09000032","Wandsworth","L","ILB",138028.2,141014.6,921.31
"274","E0602","E06000007","Warrington","NW","UA",69538,70592,2069.92
"275","E3735","E07000222","Warwick","WM","SD",56399.5,57669.6,2144.31
"276","E1939","E07000103","Watford","E","SD",33891.2568,35532.1,2134.48
"277","E3640","E07000216","Waverley","SE","SD",56487.298,57369.3,2262.78
"278","E1437","E07000065","Wealden","SE","SD",67187.9335,67793.2,2363.03
"279","E1940","E07000241","Welwyn Hatfield","E","SD",43497.6388,43867,2120.69
"280","E0302","E06000037","West Berkshire","SE","UA",66310.2,67392.5,2152.65
"281","E1140","E07000047","West Devon","SW","SD",20687.8,21225.9,2346.79
"282","E2343","E07000127","West Lancashire","NW","SD",37669.7,38095.8,2152.51
"283","E2537","E07000142","West Lindsey","EM","SD",31038.5,31696.8,2110.71
"284","E2802","E06000062","West Northamptonshire","EM","UA",139604,142060.8,2145.58
"285","E3135","E07000181","West Oxfordshire","SE","SD",46172.4465,47078.8,2207.87
"286","E3539","E07000245","West Suffolk","E","SD",57406.3,57987,2041.5
"287","E5022","E09000033","Westminster","L","ILB",135056.3,135955.4,913.78
"288","E0902","E06000064","Westmorland and Furness","NW","UA",86916.8899,87714.7,2173.08
"289","E4210","E08000010","Wigan","NW","MD",94100,96500,1831.73
"290","E3902","E06000054","Wiltshire","SW","UA",189964.3,193142.9,2216.29
"291","E1743","E07000094","Winchester","SE","SD",51554.0966,52626.8,2046.84
"292","E0305","E06000040","Windsor and Maidenhead","SE","UA",69736.2665,70250.2,1603.84
"293","E4305","E08000015","Wirral","NW","MD",95172.38955,95585.1,2158.06
"294","E3641","E07000217","Woking","SE","SD",41519,42611,2248.77
"295","E0306","E06000041","Wokingham","SE","UA",74946.3,76247.1,2157.35
"296","E4607","E08000031","Wolverhampton","WM","MD",64936.9,65994.1,2184.58
"297","E1837","E07000237","Worcester","WM","SD",32528.195,32954,2036.31
"298","E3837","E07000229","Worthing","SE","SD",39610.5,39364.6,2133.24
"299","E1838","E07000238","Wychavon","WM","SD",52818.6,52435.5,2002.4
"300","E2344","E07000128","Wyre","NW","SD",38004.5,38495.6,2151.86
"301","E1839","E07000239","Wyre Forest","WM","SD",34219.9835,34738,2111.53
"302","E2701","E06000014","York","YH","UA",68220.38,68633.1,1959.63
