"","Ecode","Authority","Class","...4","1. Council Tax Requirement for billing authority including special expenses, local precepts and Adult Social Care Precept.","...6","2. Parish precepts","...8","3. Council Tax Requirement for billing authority (including special expenses and Adult Social Care precept, but excluding local precepts)","...10","3a. Levies and special levies","...12","4. Tax base (after council tax reduction scheme)","...14","5. Estimated collection rate (%)","...16","6. Tax base adjustment (contributions in lieu of Class O exempt dwellings)","...18","7. Council tax base for council tax setting purposes","...20","8. Average (Band D 2 Adult equivalent) council tax (including Adult Social Care precept and local precepts)","...22","9. Average (Band D 2 Adult equivalent) council tax (including Adult Social Care precept and excluding local precepts)","...24","10. Total Adult Social Care precept","11a. Adult Social Care precept element of the 2017-18 Average (Band D 2 Adult equivalent) council tax (£)","11b. Adult Social Care precept as a percentage of the 2016-17 Average Band D 2 Adult equivalent council tax, excluding local precepts, (maximum 2%)","12. Is the council tax your authority set subject to a referendum?","13. Are one or more precepting authorities in your area holding a referendum?","14. Average council tax of major precepting authorities in the billing authority's area","...31","...32","15. Average (Band D 2 adult equivalent) council tax for area of the billing authority including both local and major precepts.  (Lines 8+ 14(a) + 14(b) + 14(c))","16. All parishes that exist in the authority's area in 2016-17 (whether they set a precept or not)","...35","17. Charter Trustees in the authority's area - 2016-17","...37","18. Precepting parishes, Charter Trustees and Temples in the authority's area setting a precept in 2016-17","...39"
"1",NA,NA,NA,NA,"2016-17","2017-18","2016-17","2017-18","2016-17","2017-18","2016-17","2017-18","2016-17","2017-18","2016-17","2017-18","2016-17","2017-18","2016-17","2017-18","2016-17","2017-18","2016-17","2017-18",NA,NA,NA,NA,NA,"County or GLA","Police","Fire",NA,"Number","CTB","Number","Tax Base","Number","Tax Base"
"11","E3531","Babergh","SD",NA,"7189669","7545630","2423167","2546886","4766502","4998744","0","0","31978.400000000001","32432","99.5","99.5","201.5","219.1","32020","32488.9","224.54","232.25","148.86000000000001","153.86000000000001","0",0,0,"No","No","1183.5","176.85","0","1592.6","75","32488.9","0","0","70","32249.4"
"12","E5030","Barking and Dagenham","OLB",NA,"49314019","53505147","0","0","49314019","53505147","11282437","12052794","47457.3","48986.06","96.391000000000005","96.503219999999999","0","0","45744.6","47273.1","1078.03","1131.83","1078.03","1131.83","1528812",32.3399988577013,3,"No","No","280.02","0","0","1411.85","0","0","0","0","0","0"
"13","E5031","Barnet","OLB",NA,"151707677","160559880","0","0","151707677","160559880","12030741","11812635","137306.6","141150.29999999999","98.5","98.5","77","16","135324","139049","1121.07","1154.7","1121.07","1154.7","4676218",33.6300009349222,3,"No","No","280.02","0","0","1434.72","0","0","0","0","0","0"
"14","E4401","Barnsley","MD",NA,"78392700","85104254","380701","392294","78011999","84711960","11257528","10732860","63399.1","65628.3","95","95","0","0","60229.1","62346.9","1301.58","1365.01","1295.25","1358.72","2422800",38.8599914350192,3,"No","No","0","158.16","68.959999999999994","1592.13","17","10544.2","0","0","16","10477.299999999999"
"15","E0932","Barrow-in-Furness","SD",NA,"4121363","4250139","95946","100331","4025417","4149808","0","0","19129.3","19276.16","97","97","0","0","18555.400000000001","18697.900000000001","222.11","227.31","216.94","221.94","0",0,0,"No","No","1281.02","220.77","0","1729.1","3","3578.4","0","0","3","3578.4"
"16","E1531","Basildon","SD",NA,"15483214","16020488","379032","382250","15104182","15638238","0","0","59169.1","60261.5","99","98.68","0","0","58577.4","59466","264.32","269.41000000000003","257.85000000000002","262.98","0",0,0,"No","No","1163.7","157.05000000000001","69.03","1659.19","8","18737.900000000001","0","0","8","18737.900000000001"
"17","E1731","Basingstoke & Deane","SD",NA,"7880611","8314143","1201671","1252689","6678940","7061454","0","0","64041","64670.31","98","98","0","0","62760.2","63376.9","125.57","131.19","106.42","111.42","0",0,0,"No","No","1133.0999999999999","165.46","63.84","1493.59","53","34631.599999999999","0","0","41","34096.5"
"18","E3032","Bassetlaw","SD",NA,"6283164","6582841","976176","1038127","5306988","5544714","466566","475900","33754.800000000003","34608.9","98","98","0","0","33079.699999999997","33916.699999999997","189.94","194.09","160.43","163.47999999999999","0",0,0,"No","No","1351.97","183.42","75.290000000000006","1804.77","54","15519.9","2","18396.8","49","33749.4"
"19","E0101","Bath & North East Somerset","UA",NA,"80156196","84595976","2308896","2403776","77847300","82192200","221747.82","226346","63513.5","64790.54","98.75","98.75","15","15.5","62734.6","63996.2","1277.7","1321.89","1240.9000000000001","1284.33","1588385",24.8199893118654,2,"No","No","0","181.81","69.28","1572.98","51","33047.4","1","30948.799999999999","51","63952.800000000003"
"20","E0202","Bedford","UA",NA,"75869215","82110734","1493215","1561734","74376000","80549000","623316","634360","55790.9","57680.9","98.5","98.5","0","0","54954","56815.7","1380.59","1445.21","1353.42","1417.72","2306717",40.5999926076771,3,"No","No","0","166.09","92.81","1704.11","47","35120.5","0","0","46","35102"
"21","E5032","Bexley","OLB",NA,"94245184","99246000","0","0","94245184","99246000","628000","604646","80461.7","81480.08","97.899999999999991","97.899999999999991","0","0","78772","79769","1196.43","1244.17","1196.43","1244.17","1908760.49",23.9285999573769,2,"No","No","280.02","0","0","1524.19","0","0","0","0","0","0"
"22","E4601","Birmingham","MD",NA,"289830333","310423495","1868171","1878998","287962162","308544497","49228271","47946267","246180","251241","97.100499999999997","97.1","0","0","239042","243955","1212.47","1272.46","1204.6500000000001","1264.76","8816534",36.140001229735,3,"No","No","0","116.55","57.14","1446.15","2","38014","0","0","2","38014"
"23","E2431","Blaby","SD",NA,"7337211","7792158","2655370","2817250","4681841","4974908","0","0","31885.45","32776.42","99","99","0","0","31566.6","32448.7","232.44","240.14","148.32","153.32","0",0,0,"No","No","1172.3800000000001","187.23","62.84","1662.59","24","32448.7","0","0","19","32134.3"
"24","E2301","Blackburn with Darwen","UA",NA,"44079301","47058488","154871","153844","43924430","46904644","0","0","34196.639999999999","34780.9","97.5","97.5","0","0","33341.699999999997","33911.4","1322.05","1387.69","1317.4","1383.15","1340257",39.5223140300902,3,"No","No","0","165.45","65.5","1618.64","7","11597.2","0","0","7","11597.2"
"25","E2302","Blackpool","UA",NA,"48295000","50845100","0","0","48295000","50845100","65997","66277","36473.800000000003","36576.400000000001","97.5","97.5","0","0","35562","35662","1358.05","1425.75","1358.05","1425.75","1452870",40.7400033649263,3,"No","No","0","165.45","65.5","1656.7","0","0","0","0","0","0"
"26","E1032","Bolsover","SD",NA,"5711427","6091834","2387172","2594840","3324255","3496994","0","0","20995.439999999999","21426.55","98.2","98.2","0","0","20617.5","21040.9","277.02","289.52","161.22999999999999","166.2","0",0,0,"No","No","1211.6600000000001","180.6","72.58","1754.36","16","21040.9","0","0","16","21040.9"
"27","E4201","Bolton","MD",NA,"94702455","103509001","371194","390601","94331261","103118400","39161377","39751404","72853","75992","98","98","0","0","71395.899999999994","74472.2","1326.44","1389.9","1321.24","1384.66","2951706",39.6350047400238,3,"No","No","0","162.30000000000001","59.95","1612.15","3","17573","0","0","3","17573"
"28","E2531","Boston","SD",NA,"3569885","4238411","455473","971988","3114412","3266423","1822082","1851590","18148.599999999999","18505.900000000001","99","99","0","0","17967.099999999999","18320.8","198.69","231.34","173.34","178.29","0",0,0,"No","No","1173.42","205.47","0","1610.23","19","18320.8","0","0","19","18320.8"
"29","E1202","Bournemouth","UA",NA,"78684186","83847405","0","0","78684186","83847405","241593","245512","61641","62572.67","98.7","98.7","0","0","60839.7","61759.199999999997","1293.3","1357.65","1293.3","1357.65","2395948.1630000002",38.7949999838081,3,"No","No","0","194.58","70.59","1622.82","0","0","0","0","0","0"
"30","E0301","Bracknell Forest","UA",NA,"52751473.879999995","56404595","2956447","3157494","49795026.879999995","53247101","99496.069132208053","101134","43909.999999999993","44722.799999999996","99.10225461170576","99.110073608986909","256.2","256.2","43772","44581","1205.1400000000001","1265.22","1137.5999999999999","1194.3900000000001","1521460",34.1279917453624,3,"No","No","0","170.28","62.49","1497.99","6","44581","0","0","6","44581"
"31","E4701","Bradford","MD",NA,"161357092.39999998","173096657","1407422","1710716","159949670.39999998","171385941","27456241","28864986","136647.90174002046","139459.6","97.7","97.7","0","0","133505","136252","1208.6199999999999","1270.42","1198.08","1257.8599999999999","4896896.88",35.94,3,"No","No","0","150.94999999999999","60.9","1482.2700000000002","19","60628","0","0","18","60628"
"32","E1532","Braintree","SD",NA,"10156110","10687588","1820375","1951918","8335735","8735670","0","0","51158.6","52047.5","99","99","20","20","50667","51547","200.45","207.34","164.52","169.47","0",0,0,"No","No","1163.7","157.05000000000001","69.03","1597.12","64","37299.4","0","0","54","37202.9"
"33","E2631","Breckland","SD",NA,"6375164","6903011","3272880","3524407","3102284","3378604","60828","64246","40892.800000000003","41755.1","100","100","219","236","41111.800000000003","41991.1","155.07","164.39","75.459999999999994","80.459999999999994","0",0,0,"No","No","1247.94","217.17","0","1629.5","110","41991.1","0","0","92","41300.5"
"34","E5033","Brent","OLB",NA,"98290075","106865186","0","0","98290075","106865186","2480476.1600000001","2845000","91543","95584.4","97.5","97.63","0","0","89254.399999999994","93319","1101.24","1145.1600000000001","1101.24","1145.1600000000001","2054884",22.0199959279461,2,"No","No","280.02","0","0","1425.18","0","0","0","0","0","0"
"35","E1533","Brentwood","SD",NA,"5892530","6176085.5700000003","388409","460624","5504121","5715461.5700000003","0","0","32111.1","32408.2","99","99","0","0","31790","32084.1","185.36","192.5","173.14","178.14","0",0,0,"No","No","1163.7","157.05000000000001","69.03","1582.28","9","8787.2999999999993","0","0","9","8787.2999999999993"
"36","E1401","Brighton & Hove","UA",NA,"120025815","127790579","43815","44579","119982000","127746000","169422","202999","87675.3","88867.199999999997","98.28","98.33","5.7","5.7","86173","87388.800000000003","1392.85","1462.32","1392.34","1461.81","3649750",41.7645052912959,3,"No","No","0","153.91","88.4","1704.63","1","1545.2","0","0","1","1545.2"
"37","E0102","Bristol","UA",NA,"178402606","192162378.78","0","0","178402606","192162378.78","0","0","122770.6","125954.9","98.5","98.5","17.100000000000001","17.100000000000001","120946.1","124082.7","1475.06","1548.66","1475.06","1548.66","5490672.75",44.2501069850995,3,"No","No","0","181.81","69.28","1799.75","0","0","0","0","0","0"
"38","E2632","Broadland","SD",NA,"8126971","8622781","3079845","3299101","5047126","5323680","226670","230801","44869","45328.6","99.5","99.5","21","20","44666","45122","181.95","191.1","113","117.98","0",0,0,"No","No","1247.94","217.17","0","1656.21","65","45122","0","0","58","44957"
"39","E5034","Bromley","OLB",NA,"135682773","143177192","0","0","135682773","143177192","1385168","1321018","129636.05","131548","97.65","97.65","66.400000000000006","66.400000000000006","126656","128523","1071.27","1114.02","1071.27","1114.02","2752963",21.4200026454409,2,"No","No","280.02","0","0","1394.04","0","0","0","0","0","0"
"40","E1831","Bromsgrove","SD",NA,"8071069.9000000004","8431188","804677","850638","7266392.9000000004","7580550","0","0","35762.5","36420.86","99","99","0","0","35404.9","36056.699999999997","227.96","233.83","205.24","210.24","0",0,0,"No","No","1155.31","189.6","79.53","1658.2699999999998","19","22587.81","0","0","19","22587.81"
"41","E1931","Broxbourne","SD",NA,"4022927","4247245","0","0","4022927","4247245","0","0","34717.800000000003","35166.5","98","98","0","0","34023.4","34463.199999999997","118.24","123.24","118.24","123.24","0",0,0,"No","No","1245.83","152","0","1521.07","0","0","0","0","0","0"
"42","E3033","Broxtowe","SD",NA,"6069537","6157784","734797","771214","5334740","5386570","0","0","33139.949999999997","33464.85","98.5","98.5","163.69999999999999","163.9","32806.6","33126.800000000003","185.01","185.89","162.61000000000001","162.6","0",0,0,"No","No","1351.97","183.42","75.290000000000006","1796.5700000000002","10","16759.72","0","0","9","16578.650000000001"
"43","E2333","Burnley","SD",NA,"6204544","6483324","74103","92564","6130441","6390760","0","0","22753.599999999999","23277.3","97","97","0","0","22071","22579","281.12","287.14","277.76","283.04000000000002","0",0,0,"No","No","1221.74","165.45","65.5","1739.8300000000002","8","7732","0","0","7","7694"
"44","E4202","Bury","MD",NA,"70335466","74449939","0","0","70335466","74449939","25613891","26890291","53477.59","53941.25","97.05","97.05","0","0","51900","52350","1355.21","1422.16","1355.21","1422.16","2128357",40.65629417383,3,"No","No","0","162.30000000000001","59.95","1644.41","0","0","0","0","0","0"
"45","E4702","Calderdale","MD",NA,"77512209","82225322","486084","496738","77026125","81728584","9892793","9780873","60730.400000000001","61452.88","97.5","97.5","0","0","59212.1","59916.6","1309.06","1372.33","1300.8499999999999","1364.04","2293007",38.2699786035923,2.94,"No","No","0","150.94999999999999","60.9","1584.18","7","12084","0","0","7","12084"
"46","E0531","Cambridge","SD",NA,"7439409.1799999997","7839242","0","0","7439409.1799999997","7839242","0","0","41470.199999999997","42529.1","98.7","98.7","1","1","40932.1","41977.2","181.75","186.75","181.75","186.75","0",0,0,"No","No","1190.43","186.75","66.78","1630.71","0","0","0","0","0","0"
"47","E5011","Camden","ILB",NA,"95362074","100631907.70554215","0","0","95362074","100631907.70554215","20648709.609999999","20303359","89958.33","90234.4","97.8","98","20.75","20.3","88000","88450","1083.6600000000001","1137.73","1083.6600000000001","1137.73","2874625",32.5,3,"No","No","280.02","0","0","1417.75","0","0","0","0","0","0"
"48","E3431","Cannock Chase","SD",NA,"6160883","6406065","598894","647126","5561989","5758939","0","0","27562.3","27991.759999999998","98.5","98.5","0","0","27148.9","27571.9","226.93","232.34","204.87","208.87","0",0,0,"No","No","1142.54","181.16","71.56","1627.6","8","18978.759999999998","0","0","8","18978.8"
"49","E2232","Canterbury","SD",NA,"9971789","10444345","655122","699188","9316667","9745157","122877.56","125323","48403.19","49410.055266484531","98.9","98.9","76.680000000000007","40.200000000000003","47947.4","48906.7","207.97","213.56","194.31","199.26","0",0,0,"No","No","1178.82","157.15","73.349999999999994","1622.8799999999999","26","15762.1","0","0","26","15762.1"
"50","E0933","Carlisle","SD",NA,"6840386","7210422","502638","552399","6337748","6658023","0","0","32628.1","33429.370000000003","98.5","98.5","0","0","32138.7","32927.9","212.84","218.98","197.2","202.2","0",0,0,"No","No","1281.02","220.77","0","1720.77","34","13824.08","0","0","32","13746.44"
"51","E1534","Castle Point","SD",NA,"7329990","7559584","235943","240045","7094047","7319539","0","0","30329","30690.799999999999","98","98","0","0","29722","30077","246.62","251.34","238.68","243.36","0",0,0,"No","No","1163.7","157.05000000000001","69.03","1641.12","1","11647","0","0","1","11647"
"52","E0203","Central Bedfordshire","UA",NA,"141191233","150729918","10705074","11237802","130486159","139492116","680989","691586","96914.1","99094.9","99","99","0","0","95945","98104","1471.59","1536.43","1360.01","1421.88","4002670",40.800273179483,3,"No","No","0","166.09","92.81","1795.33","79","98104","0","0","74","97972"
"53","E2432","Charnwood","SD",NA,"9835734","10377623","2936166","3075132","6899568","7302491","1166098","1184226","54354.1","55414.7","98.5","98.5","0","0","53538.8","54583.5","183.71","190.12","128.87","133.79","0",0,0,"No","No","1172.3800000000001","187.23","62.84","1612.57","34","38787.5","0","0","32","38690.5"
"54","E1535","Chelmsford","SD",NA,"13478942","14225160","2170152","2391737","11308790","11833423","0","0","63847.600000000006","65004.520000000004","99.038804904178079","99.062680564366914","0","0","63233.9","64395.199999999997","213.16","220.9","178.84","183.76","0",0,0,"No","No","1163.7","157.05000000000001","69.03","1610.68","27","40684.199999999997","0","0","26","40639.800000000003"
"55","E1631","Cheltenham","SD",NA,"7954602","8289149","193857","199087.71","7760745","8090061.29","0","0","40906.6","41560.800000000003","98.75","98.75","0","0","40395.300000000003","41041.300000000003","196.92","201.97","192.12","197.12","0",0,0,"No","No","1179.26","214.49","0","1595.72","5","11719.7","0","0","5","11719.7"
"56","E3131","Cherwell","SD",NA,"10674177","11077828","4455075","4700350","6219102","6377478","0","0","51133.7","52440.41","98","98","246.1","247.9","50357.1","51639.5","211.97","214.52","123.5","123.5","0",0,0,"No","No","1345.59","170.28","0","1730.3899999999999","78","51639.5","0","0","71","51326.2"
"57","E0603","Cheshire East","UA",NA,"185823472","197946459","6390697","6890994","179432775","191055465","0","0","143986.4","145658.09","98.75","99","0","0","142186.6","144201.5","1306.9000000000001","1372.71","1261.95","1324.92","5459000",37.8567490629432,3,"No","No","0","164.44","73.290000000000006","1610.44","114","144201.5","0","0","110","143971.70000000001"
"58","E0604","Cheshire West and Chester","UA",NA,"155497845","163672143","2829431","3252125","152668414","160420018","303826","308172","116748.4","117967.3","98.5","98.5","127.8","131.19999999999999","115125","116329","1350.69","1406.98","1326.11","1379.02","3085045",26.5199993122953,2,"No","No","0","164.44","73.290000000000006","1644.71","114","76880","2","39055","95","115589"
"59","E1033","Chesterfield","SD",NA,"4641592","4833654","403965","418062","4237627","4415592","0","0","28702.12","28942","98.5","98.5","0","0","28271.599999999999","28507.9","164.18","169.55","149.88999999999999","154.88999999999999","0",0,0,"No","No","1211.6600000000001","180.6","72.58","1634.3899999999999","2","6364","0","0","2","6364"
"60","E3833","Chichester","SD",NA,"10192455","10773877","2721509","2943979","7470946","7829898","48900","48900","51484.3","52171.31","99","99","268.49","268.8","51237.9","51918.400000000001","198.92","207.52","145.81","150.81","0",0,0,"No","No","1255.5899999999999","153.91","0","1617.02","67","51918.400000000001","0","0","61","50564.800000000003"
"61","E0432","Chiltern","SD",NA,"10056627","10526125","2624444","2813244","7432183","7712881","0","0","44223.199999999997","44586.81","98.5","98.5","0","0","43559.9","43918","230.87","239.68","170.62","175.62","0",0,0,"No","No","1218.08","170.28","60.88","1688.92","17","43918","0","0","17","43918"
"62","E2334","Chorley","SD",NA,"6774750","7145537","533160","642987","6241590","6502550","0","0","35757.4","36480.800000000003","98.39","98.5","0","0","35181.699999999997","35933.599999999999","192.56","198.85","177.41","180.96","0",0,0,"No","No","1221.74","165.45","65.5","1651.54","23","25738.2","0","0","22","25719.3"
"63","E1232","Christchurch","SD",NA,"3736280","3853186","26185","26706","3710095","3826480","0","0","19725.3","19822.2","99","99","0","0","19528","19624","191.33","196.35","189.99","194.99","0",0,0,"No","No","1326.87","194.58","70.59","1788.3899999999996","2","1787","0","0","2","1787"
"64","E5010","City of London","ILB",NA,"6037134","6052943","341221","366639","5695913","5686304","214797","210328","7412.6","7432","95","95","0","0","7042","7060.4","857.31","857.31","808.85","805.38","0",0,0,"No","No","73.89","0","0","931.19999999999993","2","153.53","0","0","2","153.53"
"65","E1536","Colchester","SD",NA,"11997487","12560856","1396739","1546056","10600748","11014800","0","0","60350.2","60981.4","99","99","748.9","760.6","60495.6","61132.2","198.32","205.47","175.23","180.18","0",0,0,"No","No","1163.7","157.05000000000001","69.03","1595.25","35","29263.9","0","0","29","29048.2"
"66","E0934","Copeland","SD",NA,"4793610","4925846","877026","916965","3916584","4008881","0","0","20531.8","20613.2","98","98","0","0","20121.2","20200.900000000001","238.24","243.84","194.65","198.45","0",0,0,"No","No","1281.02","220.77","0","1745.6299999999999","29","20200.900000000001","0","0","29","20200.900000000001"
"67","E2831","Corby","SD",NA,"3310265","3571736","98651","188744","3211614","3382992","0","0","18073","18521","98.998500000000007","99.000999999999991","0","0","17892","18336","185.01","194.79","179.5","184.5","0",0,0,"No","No","1166.5899999999999","209.04","0","1570.4199999999998","7","3734","0","0","7","3734"
"68","E0801","Cornwall","UA",NA,"264129460","280349724","18549999","20531296","245579461","259818428","1388380","1439306","184374.5","187625.96","98.751705000000001","98.75","474.65","476.44","182547.6","185757.1","1446.91","1509.23","1345.29","1398.7","4998723",26.909996979927,2,"No","No","0","176.28","0","1685.51","213","185757.1","0","0","206","184032.3"
"69","E1632","Cotswold","SD",NA,"7366024","7651093","2509975","2715735","4856049","4935358","0","0","38603.11","39229.79","99","99","201.07","208","38418.1","39045.5","191.73","195.95","126.4","126.4","0",0,0,"No","No","1179.26","214.49","0","1589.7","114","39045.5","0","0","93","37737.9"
"70","E4602","Coventry","MD",NA,"110842089","118492070","30037","30271","110812052","118461799","15089611","14904110","78865.8","80337.600000000006","98.3","98.3","0","0","77525.100000000006","78971.899999999994","1429.76","1500.43","1429.37","1500.05","3386315",42.8799990882833,3,"No","No","0","116.55","57.14","1674.1200000000001","3","2052.8000000000002","0","0","3","2052.8000000000002"
"71","E2731","Craven","SD",NA,"4689476","4890085","1258405","1306379","3431071","3583706","11963","11963","22134.7","22406.6","98.6","98.6","0","0","21824.799999999999","22092.9","214.87","221.34","157.21","162.21","0",0,0,"No","No","1189.5","221.32","67.19","1699.35","70","22092.9","0","0","38","20469.599999999999"
"72","E3834","Crawley","SD",NA,"6315656","6576695","0","0","6315656","6576695","0","0","33536.199999999997","34063.800000000003","99.5","99.5","0","0","33368.5","33893.5","189.27","194.04","189.27","194.04","0",0,0,"No","No","1255.5899999999999","153.91","0","1603.54","0","0","0","0","0","0"
"73","E5035","Croydon","OLB",NA,"143489623","155058885.13","0","0","143489623","155058885.13","1524000","1446000","121815","124993","96.7","97","0","0","117795.1","121243.2","1218.1300000000001","1278.9100000000001","1218.1300000000001","1278.9100000000001","4430000",36.5381316230519,3,"No","No","280.02","0","0","1558.93","0","0","0","0","0","0"
"74","E1932","Dacorum","SD",NA,"10907821","11448309","690049","738974","10217772","10709335","0","0","55615.694164989938","56756","99.4","99.399900000000002","0","0","55282","56415.4","197.31","202.93","184.83","189.83","0",0,0,"No","No","1245.83","152","0","1600.76","16","26671.7","0","0","16","26671.7"
"75","E1301","Darlington","UA",NA,"41816825","44279300","118825","156300","41698000","44123000","100944","102064","31958.1","32210.5","99","99","101.1","101.1","31739.599999999999","31989.5","1317.5","1384.18","1313.75","1379.3","1260786",39.4124947248316,3,"No","No","0","169.24","97.65","1651.0700000000002","24","5957.9","0","0","10","5480.5"
"76","E2233","Dartford","SD",NA,"6718490","7111142","1140307","1180182","5578183","5930960","0","0","35121","36240.9","97.5","97.5","0","0","34243","35334.9","196.2","201.25","162.9","167.85","0",0,0,"No","No","1178.82","157.15","73.349999999999994","1610.57","8","18421.2","0","0","8","18421.2"
"77","E2832","Daventry","SD",NA,"6201275","6753410","1986934.92","2240638","4214340.08","4512772","0","0","29426.560000000001","30467.25","98","98","0","0","28838","29857.9","215.04","226.19","146.13999999999999","151.13999999999999","0",0,0,"No","No","1166.5899999999999","209.04","0","1601.82","73","29857.9","0","0","61","29449.4"
"78","E1001","Derby","UA",NA,"80541431","86424460","0","0","80541431","86424460","74483","76159","66130.149999999994","67794.36","98.5","98.2","0","0","65138.2","66574.100000000006","1236.47","1298.17","1236.47","1298.17","2469232.25",37.0899831916616,3,"No","No","0","180.6","72.58","1551.35","0","0","0","0","0","0"
"79","E1035","Derbyshire Dales","SD",NA,"6848750","7099577","1382972","1440092","5465778","5659485","0","0","28498.28","28764.37","99.2","99.2","0","0","28270.3","28534.3","242.26","248.81","193.34","198.34","0",0,0,"No","No","1211.6600000000001","180.6","72.58","1713.6499999999999","101","28534.3","0","0","76","27743.5"
"80","E4402","Doncaster","MD",NA,"93691192","99921153","1952039","2016571","91739153","97904582","17234100","17694056","79454.600000000006","80709.2","97","98","0","0","77071","79095","1215.6500000000001","1263.31","1190.32","1237.81","1882461",23.8,2,"No","No","0","158.16","68.959999999999994","1490.43","43","41328","0","0","39","41181"
"81","E2234","Dover","SD",NA,"8493967","8927122","2242688","2327433","6251279","6599689","68100","69506","37139.5","38158.400000000001","97.61","97.5","0","0","36251.9","37204.400000000001","234.3","239.95","172.44","177.39","0",0,0,"No","No","1178.82","157.15","73.349999999999994","1649.27","35","37204.400000000001","0","0","35","37204.400000000001"
"82","E4603","Dudley","MD",NA,"103129000","108989000","0","0","103129000","108989000","14140220","13680617","89559","91017.91","98.4","98.4","0","0","88126.1","89561.600000000006","1170.24","1216.92","1170.24","1216.92","3143613",35.1000093790196,3,"No","No","0","116.55","57.14","1390.6100000000001","0","0","0","0","0","0"
"83","E1302","Durham","UA",NA,"197311263","207557623","11512796","11851239","185798467","195706384","15929231","15978950","135931.4","137686.20000000001","98.5","98.5","0","0","133892.4","135620.9","1473.66","1530.43","1387.67","1443.04","3763480",27.7500001843374,2,"No","No","0","169.24","97.65","1797.3200000000002","128","103223.1","1","25017.7","108","110141"
"84","E5036","Ealing","OLB",NA,"115863206","120148539","0","0","115863206","120148539","31097000","30786000","111885.5","113748.59","97.7","97.7","0","0","109312.1","111132.4","1059.93","1081.1300000000001","1059.93","1081.1300000000001","2356006",21.1999920815172,2,"No","No","280.02","0","0","1361.15","0","0","0","0","0","0"
"85","E0532","East Cambridgeshire","SD",NA,"5969386","6051891","1892512","1937507","4076874","4114384","525852","474822","29030.5","29297.599999999999","98.8","98.8","0","0","28682.1","28946","208.12","209.08","142.13999999999999","142.13999999999999","0",0,0,"No","No","1190.43","186.75","66.78","1653.04","35","28946","0","0","35","28946"
"86","E1131","East Devon","SD",NA,"9890304.6400000006","10868779","2739404.64","3294460","7150900","7574319","0","0","57052.5","58067","98.6","98.7","150","165","56403.8","57477.1","175.35","189.1","126.78","131.78","0",0,0,"No","No","1267.92","176.28","81.569999999999993","1714.87","68","57477","0","0","65","57362"
"87","E1233","East Dorset","SD",NA,"9520954","9955338","1886784","2090403","7634170","7864935","0","0","37145.199999999997","37367.800000000003","99","99","50.3","48.9","36824","37043","258.55","268.75","207.32","212.32","0",0,0,"No","No","1326.87","194.58","70.59","1860.7899999999997","25","37043","0","0","20","37043"
"88","E1732","East Hampshire","SD",NA,"9735988","9859273","3193225","3447891","6542763","6411382","0","0","48530.09","48804.1","99.7","99.7","243.1","243.1","48627.6","48900.800000000003","200.22","201.62","134.55000000000001","131.11000000000001","0",0,0,"No","No","1133.0999999999999","165.46","63.84","1564.0199999999998","40","48900.800000000003","0","0","38","48749.9"
"89","E1933","East Hertfordshire","SD",NA,"12599447","13150503","3669357","3816093","8930090","9334410","0","0","58038.400000000001","59326.64","98.65","98.9","0","0","57254.9","58674","220.06","224.13","155.97","159.09","0",0,0,"No","No","1245.83","152","0","1621.96","50","58674","0","0","46","58513.279999999999"
"90","E2532","East Lindsey","SD",NA,"7235684","7885023","1857023","2237809","5378661","5647214","3307203","3368400","42801","43196.800000000003","98.29","98.416700000000006","286","289","42355.1","42801.9","170.83","184.22","126.99","131.94","0",0,0,"No","No","1173.42","205.47","0","1563.1100000000001","163","42801.9","0","0","102","40653"
"91","E2833","East Northamptonshire","SD",NA,"6646229","7114143","2775922","2988234","3870307","4125909","0","0","30480.2","31277.200000000001","98.7","98.701399999999992","0","0","30084","30871","220.92","230.45","128.65","133.65","0",0,0,"No","No","1166.5899999999999","209.04","0","1606.08","57","30871","0","0","42","30327"
"92","E2001","East Riding of Yorkshire","UA",NA,"145671264","155778988.28200001","5118004","5463888.1799999997","140553260","150315100.102","1815437","1944931","114071","116549.9","97.385663314952993","97.1","96.5","95.6","111185.3","113265.60000000001","1310.17","1375.34","1264.1400000000001","1327.1","4283704.9920000015",37.82,2.99,"No","No","0","187.33","80.150000000000006","1642.82","172","113265.60000000001","0","0","167","113234.40000000001"
"93","E3432","East Staffordshire","SD",NA,"7368509","7534353","1040310","1073888","6328199","6460465","0","0","36061.199999999997","36684","97.5","98","0","0","35159.699999999997","35950.300000000003","209.57","209.58","179.98","179.71","0",0,0,"No","No","1142.54","181.16","71.56","1604.84","38","35950.300000000003","0","0","35","35839.5"
"94","E1432","Eastbourne","SD",NA,"7679330","7901500","0","0","7679330","7901500","215300","219700","34556.400000000001","34793.5","97.25","97.5","0","0","33606.1","33923.699999999997","228.51","232.92","228.51","232.92","0",0,0,"No","No","1314.36","153.91","88.4","1789.5900000000001","0","0","0","0","0","0"
"95","E1733","Eastleigh","SD",NA,"8382646","8593113","2745925","2854599","5636721","5738514","0","0","43996","44790.2","98.5","98.5","0","0","43336.1","44118.3","193.43","194.77","130.07","130.07","0",0,0,"No","No","1133.0999999999999","165.46","63.84","1557.1699999999998","10","36822.199999999997","0","0","10","36822.199999999997"
