"","Ecode","Authority","Class","...4","1. Council Tax Requirement for billing authority including special expenses, local precepts and Adult Social Care Precept.","...6","2. Parish precepts","...8","3. Council Tax Requirement for billing authority (including special expenses and Adult Social Care precept, but excluding local precepts)","...10","3a. Levies and special levies","...12","4. Tax base (after council tax reduction scheme)","...14","5. Estimated collection rate (%)","...16","6. Tax base adjustment (contributions in lieu of Class O exempt dwellings)","...18","7. Council tax base for council tax setting purposes","...20","8. Average (Band D 2 Adult equivalent) council tax (including Adult Social Care precept and local precepts)","...22","9. Average (Band D 2 Adult equivalent) council tax (including Adult Social Care precept and excluding local precepts)","...24","10. Total Adult Social Care precept","11a. Adult Social Care precept element of the 2019-20 Average (Band D 2 Adult equivalent) council tax (£)","11b. Adult Social Care precept as a percentage of the 2018-19 Average Band D 2 Adult equivalent council tax, excluding local precepts, (maximum 2%)","14. Is the council tax your authority set subject to a referendum?","15. Are one or more precepting authorities in your area holding a referendum?","16. Average council tax of major precepting authorities in the billing authority's area","...31","...32","...33","17. Average (Band D 2 adult equivalent) council tax for area of the billing authority including both local and major precepts.  (Lines 8+ 16(a) + 16(b) + 16(c) +16(d))","18. All parishes that exist in the authority's area in 2019-20 (whether they set a precept or not)","...36","19. Charter Trustees in the authority's area - 2019-20","...38","20. Precepting parishes, Charter Trustees and Temples in the authority's area setting a precept in 2019-20","...40","12. How do you wish to apply the referendum priniciples?","Local authority...42","Taxbase for setting council tax...43","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept and local precepts) of billing authority...44","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept but excluding local precepts) of billing authority...45","Total Adult Social Care precept...46","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (£)...47","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (%)...48","Local authority...49","Taxbase for setting council tax...50","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept and local precepts) of billing authority...51","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept but excluding local precepts) of billing authority...52","Total Adult Social Care precept...53","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (£)...54","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (%)...55","Local authority...56","Taxbase for setting council tax...57","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept and local precepts) of billing authority...58","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept but excluding local precepts) of billing authority...59","Total Adult Social Care precept...60","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (£)...61","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (%)...62","Local authority...63","Taxbase for setting council tax...64","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept and local precepts) of billing authority...65","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept but excluding local precepts) of billing authority...66","Total Adult Social Care precept...67","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (£)...68","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (%)...69","Local authority...70","Taxbase for setting council tax...71","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept and local precepts) of billing authority...72","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept but excluding local precepts) of billing authority...73","Total Adult Social Care precept...74","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (£)...75","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (%)...76","Local authority...77","Taxbase for setting council tax...78","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept and local precepts) of billing authority...79","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept but excluding local precepts) of billing authority...80","Total Adult Social Care precept...81","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (£)...82","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (%)...83"
"91","E2001","East Riding of Yorkshire","UA",NA,"167418294","174733891.00999999","5612284","5917106","161806010","168816785.00999999","1982030","2053850","117276","118856.2","98.02","97.979070000000007","91.8","89.7","115045.7","116543.9","1455.23","1499.3","1406.45","1448.53",0,"0","0","No","No","0","223.31","84.94","0","1807.55","172","116543.9","0","0","166","116430.6","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"92","E3432","East Staffordshire","SD",NA,"7716819","8049202","1124845","1175370","6591974","6873832","0","0","37486.1","38039","98","98","0","0","36736.400000000001","37278.199999999997","210.06","215.92","179.44","184.39",0,"0","0","No","No","1246.23","216.56","75.73","0","1754.44","38","37278.199999999997","0","0","35","37170.199999999997","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"93","E3538","East Suffolk","SD",NA,"19577631","20495459","5688425","6066344","13889206","14429115","134725","140000","86454.69","87437.5","0","99","186.81","192","85593.200000000012","86755.1","0","0","0","0",0,"0","0","No","No","1292.1300000000001","212.76","0","0","1741.14","177","86755.1","0","0","134","86230","Appy to the increase in average Band D amount across the predecessor areas","Suffolk Coastal","50060.29","0","0","0","0","0","Waveney","36694.85","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0","East Suffolk","86755.1","236.25","166.32","0","0","0"
"94","E1432","Eastbourne","SD",NA,"8233700","8579050","0","0","8233700","8579050","215500","228950","35145.199999999997","35384.5","97.75","98.25","0","0","34354.400000000001","34765.300000000003","239.67","246.77","239.67","246.77",0,"0","0","No","No","1434.78","189.91","93.67","0","1965.13","0","0","0","0","0","0","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"95","E1733","Eastleigh","SD",NA,"8784189","9132082.1699999999","3007355","3192929","5776834","5939153.1699999999","0","0","45488.3","46551.9","98.5","98.5","0","0","44806","45853.599999999999","196.05","199.16","128.93","129.52000000000001",0,"0","0","No","No","1236.8699999999999","201.46","67.709999999999994","0","1705.2","10","38278.800000000003","0","0","10","38278.800000000003","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"96","E0935","Eden","SD",NA,"4912708","5029322","1027962","1096862","3884746","3932460","0","0","20569.3","20822","99","99","2","2","20365.599999999999","20615.8","241.23","243.95","190.75","190.75",0,"0","0","No","No","1385.28","256.68","0","0","1885.91","72","20615.78","0","0","67","20333.759999999998","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"97","E3631","Elmbridge","SD",NA,"13838748","14371718","48860","49157","13789888","14322561","0","0","64786.47","65373.5","99","99","0","0","64138.6","64719.8","215.76","222.06","215","221.3",0,"0","0","No","No","1453.5","260.57","0","0","1936.1299999999999","1","3474","0","0","1","3474","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"98","E5037","Enfield","OLB",NA,"121079000","127311000","0","0","121079000","127311000","8525000","9222000","98913","99055.1","97.06","98","0","0","96005","97074","1261.17","1311.48","1261.17","1311.48",1224103,"12.61","0.99986520453229921","No","No","320.51","0","0","0","1631.99","0","0","0","0","0","0","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"99","E1537","Epping Forest","SD",NA,"11647139","11907909","3480955","3650767","8166184","8257142","0","0","54378.5","54984.2","98.5","98.5","0","0","53562.8","54159.4","217.45","219.87","152.46","152.46",0,"0","0","No","No","1270.44","192.96","72.45","0","1755.72","24","54159.4","0","0","24","54159.4","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"100","E3632","Epsom & Ewell","SD",NA,"6289942","6525177","0","0","6289942","6525177","0","0","33239.760000000002","33481.56","98.25","98.25","0","0","32658.1","32895.599999999999","192.6","198.36","192.6","198.36",0,"0","0","No","No","1453.5","260.57","0","0","1912.43","0","0","0","0","0","0","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"101","E1036","Erewash","SD",NA,"6280946","6507633","335666","352213","5945280","6155420","0","0","33315.199999999997","33491.199999999997","98.5","98.5","0","0","32815.5","32988.800000000003","191.4","197.27","181.17","186.59",0,"0","0","No","No","1322.88","216.6","76.22","0","1812.97","13","14228.9","0","0","13","14228.9","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"102","E1132","Exeter","SD",NA,"5483877","5734989","0","0","5483877","5734989","0","0","37677.300000000003","38132","97","97","0","0","36547","36988","150.05000000000001","155.05000000000001","150.05000000000001","155.05000000000001",0,"0","0","No","No","1384.29","212.28","86.52","0","1838.1399999999999","0","0","0","0","0","0","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"103","E1734","Fareham","SD",NA,"6613195","6874944","0","0","6613195","6874944","0","0","42664.1","42971.5","99","99","367.8","367.8","42605.3","42909.599999999999","155.22","160.22","155.22","160.22",0,"0","0","No","No","1236.8699999999999","201.46","67.709999999999994","0","1666.26","0","0","0","0","0","0","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"104","E0533","Fenland","SD",NA,"8909031","9015869","1361161","1363559","7547870","7652310","1454260","1480080","29331","29736.799999999999","98.8","98.8","0","0","28979","29380","307.43","306.87","260.45999999999998","260.45999999999998",0,"0","0","No","No","1312.11","222.66","70.739999999999995","0","1912.38","16","29380","0","0","16","29380","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"105","E2240","Folkestone & Hythe","SD",NA,"12183131","12598350","2283454","2313103","9899677","10285247","452770","461830","38530.5","39269.03","98.5","98.5","359.7","377.22","38312.199999999997","39057.199999999997","318","322.56","258.39","263.33999999999997",0,"0","0","No","No","1299.42","193.15","77.760000000000005","0","1892.89","30","39057.199999999997","0","0","28","38917","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"106","E1633","Forest of Dean","SD",NA,"7128415","7527712","2165335","2330965","4963080","5196747","0","0","28667.66","29148.77","99","99","170.34","170.34","28551.3","29027.599999999999","249.67","259.33","173.83","179.03",0,"0","0","No","No","1293.7","250.49","0","0","1803.52","41","28857.3","0","0","39","28591.1","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"107","E2335","Fylde","SD",NA,"6955838","7211092","957739","999043","5998099","6212049","0","0","30122.5","30445.200000000001","98.25","98.25","155.6","155.6","29751","30068","233.8","239.83","201.61","206.6",0,"0","0","No","No","1346.59","201.45","69.48","0","1857.35","15","22418","0","0","15","22418","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"108","E4501","Gateshead","MD",NA,"86808802","91330265","10815","11140","86797987","91319125","11202146","11117297","52647","53264","97.75","97.75","0","0","51462.400000000001","52065.599999999999","1686.84","1754.14","1686.63","1753.92",878154,"16.87","1.0002193723578972","No","No","0","134.33000000000001","82.33","0","1970.8","1","1193.5","0","0","1","1193.5","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"109","E3034","Gedling","SD",NA,"6647049","6749365","672549","714665","5974500","6034700","17259","17605","37080.339999999997","37454.800000000003","98.75","98.75","20.7","20.7","36637.5","37007.300000000003","181.43","182.38","163.07","163.07",0,"0","0","No","No","1476.06","219.33","79.8","0","1957.57","12","11259.6","0","0","12","11259.6","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"110","E1634","Gloucester","SD",NA,"7550196.4699999997","7908312","243491","246367","7306705.4699999997","7661945","0","0","37652.199999999997","38355.599999999999","98.750100000000003","98.75","72.8","56.1","37254.400000000001","37932.300000000003","202.67","208.48","196.13","201.99",0,"0","0","No","No","1293.7","250.49","0","0","1752.67","1","6469.2","0","0","1","6469.2","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"111","E1735","Gosport","SD",NA,"5813993","6085362","0","0","5813993","6085362","0","0","26119.492385786802","26494.400000000001","98.5","98.75","797.2","793","26524.9","26956.2","219.19","225.75","219.19","225.75",0,"0","0","No","No","1236.8699999999999","201.46","67.709999999999994","0","1731.79","0","0","0","0","0","0","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"112","E2236","Gravesham","SD",NA,"7028320","7232030","323120","339740","6705200","6892290","42130","42130","34505.82","34273.191919191922","98.5","99","0","0","33988.199999999997","33930.5","206.79","213.14","197.28","203.13",0,"0","0","No","No","1299.42","193.15","77.760000000000005","0","1783.47","6","7271.7699999999995","0","0","6","7271.7699999999995","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"113","E2633","Great Yarmouth","SD",NA,"4769408","5041592","377953","429723","4391455","4611869","228914.77","266230","28564","29069","98.25","98.25","0","0","28064.1","28560.3","169.95","176.52","156.47999999999999","161.47999999999999",0,"0","0","No","No","1362.24","253.08","0","0","1791.84","21","15875","0","0","19","15777","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"114","E5012","Greenwich","ILB",NA,"91023730","96863290","0","0","91023730","96863290","1572000","1598000","85028.9","87858.13","94","94","253.4","261","80180.600000000006","82847.600000000006","1135.23","1169.17","1135.23","1169.17",0,"0","0","No","No","320.51","0","0","0","1489.68","0","0","0","0","0","0","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"115","E3633","Guildford","SD",NA,"11157265","11499274","1631985","1740697","9525280","9758577","0","0","57236.5","57230.6","99","98.5","435","423.2","57099.1","56795.3","195.4","202.47","166.82","171.82",0,"0","0","No","No","1453.5","260.57","0","0","1916.54","24","29859.3","0","0","23","29764.400000000001","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"116","E5013","Hackney","ILB",NA,"76868000","82299000","0","0","76868000","82299000","8363682.4194844589","8601354.4000000004","74889.473684210534","76370","95","95","0","0","71145","72551.5","1080.44","1134.3499999999999","1080.44","1134.3499999999999",1567762,"21.61","2.0001110658620558","No","No","320.51","0","0","0","1454.86","0","0","0","0","0","0","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"117","E0601","Halton","UA",NA,"47557422","49715010","110004","118164","47447418","49596846","3529790","3229150","35500","36030.9","97","97","0","0","34435","34950","1381.08","1422.46","1377.88","1419.08",0,"0","0","No","No","0","200.44","77.739999999999995","19","1719.64","6","3263","0","0","6","3263","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"118","E2732","Hambleton","SD",NA,"5217870.82","5536167.7000000002","1453137.76","1502134","3764733.0600000005","4034033.7","114540","127920","35763.1","36573.129999999997","99","99","627.6","639.82000000000005","36033.1","36847.199999999997","144.81","150.25","104.48","109.48",0,"0","0","No","No","1311.16","255.77","71.27","0","1788.45","178","36847.199999999997","0","0","134","35660.800000000003","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"119","E5014","Hammersmith and Fulham","ILB",NA,"56664500","60395650","0","0","56664500","60395650","11968354","11775735","79852.5","81290","97.5","97.5","0","0","77856.2","79257.8","727.81","762.02","727.81","762.02",1153597,"14.55","1.9991481293194655","No","No","320.51","0","0","0","1082.53","0","0","0","0","0","0","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"120","E2433","Harborough","SD",NA,"7436154","7650384","1613825","1744475","5822329","5905909","0","0","35013.9","35516.6","99","99","0","0","34663.800000000003","35161.4","214.52","217.58","167.97","167.97",0,"0","0","No","No","1292.18","223.23","66.64","0","1799.63","91","26628.3","0","0","62","25543.1","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"121","E5038","Haringey","OLB",NA,"98800076","101981301","0","0","98800076","101981301","6597534.4399999995","8644720","80096.3","80067.350000000006","96.25","96.5","0","0","77092.7","77265","1281.57","1319.89","1281.57","1319.89",0,"0","0","No","No","320.51","0","0","0","1640.4","0","0","0","0","0","0","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"122","E1538","Harlow","SD",NA,"6967648","7298467","0","0","6967648","7298467","0","0","26112.25","26815.31","98","98","0","0","25590","26279","272.27999999999997","277.73","272.27999999999997","277.73",0,"0","0","No","No","1270.44","192.96","72.45","0","1813.5800000000002","0","0","0","0","0","0","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"123","E2753","Harrogate","SD",NA,"15420618","16133164","940898","1085130","14479720","15048034","113810","113810","62172.62","62772.98","98.75","98.75","502.2","472.4","61897.7","62460.7","249.13","258.29000000000002","233.93","240.92",0,"0","0","No","No","1311.16","255.77","71.27","0","1896.49","88","35729.1","0","0","80","34360.6","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"124","E5039","Harrow","OLB",NA,"117803188","126295013","0","0","117803188","126295013","34438578","3196000","86059.7","87877.5","98","98","127","130","84465.5","86250","1394.69","1464.29","1394.69","1464.29",2405512,"27.89","1.9997275380192014","No","No","320.51","0","0","0","1784.8","0","0","0","0","0","0","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"125","E1736","Hart","SD",NA,"9847658.4199999999","10228070","3108590","3233476","6739068.4199999999","6994594","0","0","40924.400000000001","41240.230000000003","98.7","98.7","0","0","40392.400000000001","40704.1","243.8","251.28","166.84","171.84",0,"0","0","No","No","1236.8699999999999","201.46","67.709999999999994","0","1757.32","21","40704.1","0","0","21","40704.1","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"126","E0701","Hartlepool","UA",NA,"38995140","41173650.079999998","32598","34280","38962542","41139370.079999998","111589","116991","24386.799999999999","24782.7","98.5","98.5","0","0","24021","24411","1623.38","1686.68","1622.02","1685.28",395946.42,"16.22","0.99998766969581143","No","No","0","250.54","77.36","0","2014.58","8","2429.1999999999998","0","0","6","2400.4","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"127","E1433","Hastings","SD",NA,"6595295","6867158","0","0","6595295","6867158","0","0","26427.200000000001","26720","96.801780000000008","96.8","0","0","25582","25865","257.81","265.5","257.81","265.5",0,"0","0","No","No","1434.78","189.91","93.67","0","1983.8600000000001","0","0","0","0","0","0","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"128","E1737","Havant","SD",NA,"8081324","8324097.0000000019","0","0","8081324","8324097.0000000019","0","0","40704","41202.699999999997","100","98.8","0","0","40704","40708.300000000003","198.54","204.48","198.54","204.48",0,"0","0","No","No","1236.8699999999999","201.46","67.709999999999994","0","1710.52","0","0","0","0","0","0","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"129","E5040","Havering","OLB",NA,"119125025","124812783","0","0","119125025","124812783","16609095","17773157","88451.6","89803.4","98.75","98.7","0","0","87346","88636","1363.83","1408.15","1363.83","1408.15",2417073.72,"27.27","1.9995160687182421","No","No","320.51","0","0","0","1728.66","0","0","0","0","0","0","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"130","E1801","Herefordshire","UA",NA,"102709327","108873339","4264327","4622339","98445000","104251000","217883.4","230305","68231.899999999994","68883.5","99.5","99.5","286.89999999999998","286.89999999999998","68177.600000000006","68826","1506.5","1581.86","1443.95","1514.7",1987696,"28.88","2.0000692544755703","No","No","0","216.66","84.34","0","1882.86","242","68826","0","0","134","68751.8","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"131","E1934","Hertsmere","SD",NA,"8214858","8554230","1205255","1234562","7009603","7319668","0","0","41222.699999999997","41812.9","98","98","297.39999999999998","297.39999999999998","40695.599999999999","41274","201.86","207.25","172.24","177.34",0,"0","0","No","No","1359.94","188","0","0","1755.19","5","20391.2","0","0","4","20299.599999999999","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"132","E1037","High Peak","SD",NA,"6209877","6462956.4400000004","579937","599896.43999999994","5629940","5863060","0","0","30546","30915.07","98.9","98.9","0","0","30210","30575","205.56","211.38","186.36","191.76",0,"0","0","No","No","1322.88","216.6","76.22","0","1827.0800000000002","19","30575","0","0","16","14425","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"133","E5041","Hillingdon","OLB",NA,"110257975","114499631","0","0","110257975","114499631","811200.04","812687","99380.800000000003","100794.9","99","99","683","683","99070","100470","1112.93","1139.6400000000001","1112.93","1139.6400000000001",0,"0","0","No","No","320.51","0","0","0","1460.15","0","0","0","0","0","0","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"134","E2434","Hinckley and Bosworth","SD",NA,"6846374","7185401","2001957","2088682","4844417","5096719","0","0","38194.400000000001","38662.5","99.8","99.8","0","0","38118","38585.199999999997","179.61","186.22","127.09","132.09",0,"0","0","No","No","1292.18","223.23","66.64","0","1768.2700000000002","24","27642.1","0","0","24","27642.1","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"135","E3835","Horsham","SD",NA,"12367728","13196277","3224014","3598624","9143714","9597653","0","0","61461.1","62815.199999999997","99","99","0","0","60846.5","62187","203.26","212.2","150.28","154.34",0,"0","0","No","No","1383.57","189.91","0","0","1785.68","32","50436.4","0","0","32","50436.4","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"136","E5042","Hounslow","OLB",NA,"96746592","104452116","0","0","96746592","104452116","10474873","9691782","84830.9","87238.5","97.5","97.5","137.9","137.9","82848","85195.4","1167.76","1226.03","1167.76","1226.03",1989756,"23.36","2.0004110433650748","No","No","320.51","0","0","0","1546.54","0","0","0","0","0","0","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"137","E0551","Huntingdonshire","SD",NA,"14396859","15429920","5946820","6651265","8450039","8778655","402278","407868","61630.5","62405.7","98.5","98.5","278","279.39999999999998","60984","61749","236.08","249.88","138.56","142.16999999999999",0,"0","0","No","No","1312.11","222.66","70.739999999999995","0","1855.3899999999999","79","61749","0","0","74","61597","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
