ecode,onscode,authority.x,region,class.x,tstb_1516,tstb_1617,tstb_1718,tstb_1819,tstb_1920,tstb_2021,tstb_2122,tstb_2223,tstb_2324
E3631,E07000207,Elmbridge,SE,SD,62085,62582,63414.7,64138.6,64719.8,65228,64518,65568.986999999994,65980
E5037,E09000010,Enfield,L,OLB,91714,94317,95043,96005,97074,97726,92965,96369,96794
E1537,E07000072,Epping Forest,E,SD,51196.3,52257.8,53029.2,53562.8,54159.4,54728.6,54018.7,54865.3,54883.6
E3632,E07000208,Epsom & Ewell,SE,SD,31511.5,32013.5,32324,32658.1,32895.599999999999,33019.9,33149.599999999999,33251.426399999997,33521.1
E1036,E07000036,Erewash,EM,SD,31659.3,32226.7,32703,32815.5,32988.800000000003,33699.9,33711.800000000003,33826.400000000001,34613
E1132,E07000041,Exeter,SW,SD,34750,35429,36197,36547,36988,37348,37377,37665.972999999998,38247
E1734,E07000087,Fareham,SE,SD,41630.199999999997,42005.7,42371.6,42605.3,42909.599999999999,43559.3,43804.5,44002.6,44139.4
E0533,E07000010,Fenland,E,SD,27368,27935,28397,28979,29380,29815,30143,30663.963199999998,31059
E2240,E07000112,Folkestone & Hythe,SE,SD,35469.300000000003,36629.800000000003,37431.4,38312.199999999997,39057.199999999997,39109.199999999997,38484.699999999997,39172.296499999997,39977.1
E1633,E07000080,Forest of Dean,SW,SD,26995.599999999999,27655.5,28154.5,28551.3,29027.599999999999,29294.799999999999,29737.7,30180.1774,30636.3
E2335,E07000119,Fylde,NW,SD,28275,28747,29284,29751,30068,30639,30975,31392,31989
E4501,E08000037,Gateshead,NE,MD,49923.9,50480.1,50933.2,51462.400000000001,52065.599999999999,52453.599999999999,52483.9,52660.9,53354.9
E3034,E07000173,Gedling,EM,SD,35610.1,36104.6,36306.1,36637.5,37007.300000000003,37387.4,37390,37776.400000000001,38503.7
E1634,E07000081,Gloucester,SW,SD,35439.699999999997,36240.699999999997,36706.400000000001,37254.400000000001,37932.300000000003,38356.6,38119.800000000003,38453.833749999998,39072.6
E1735,E07000088,Gosport,SE,SD,25640.400000000001,25945.9,26409.7,26524.9,26956.2,27039.1,26722.799999999999,27154.16375,27056
E2236,E07000109,Gravesham,SE,SD,31830.3,32412.7,33329.800000000003,33988.199999999997,33930.5,34334.5,34425.1,34829.618750000001,35266.5
E2633,E07000145,Great Yarmouth,E,SD,26155.7,26722.2,27342,28064.1,28560.3,29048.3,28910,29343.566999999999,29851
E5012,E09000011,Greenwich,L,ILB,69702.3,74337.7,77699.8,80180.600000000006,82847.600000000006,83664.899999999994,82858.7,83695.583499999993,85713
E3633,E07000209,Guildford,SE,SD,54825.8,55531.1,56634.5,57099.1,56795.3,57645.4,57159.4,58335.9,59212.1
E5013,E09000012,Hackney,L,ILB,63896,66624,68399,71145,72551.5,74385.899999999994,72039.3,73981,77108.8
E0601,E06000006,Halton,NW,UA,32100,32948.1,33818,34435,34950,35359,35182,35831,36241
E5014,E09000013,Hammersmith and Fulham,L,ILB,71982.7,74040.899999999994,75937.899999999994,77856.2,79257.8,80495,80930,82262.983999999997,83936
E2433,E07000131,Harborough,EM,SD,32163,32787.5,33482,34663.800000000003,35161.4,36126.699999999997,36356.1,37389.4,38251.5
E5038,E09000014,Haringey,L,OLB,70809.7,72175,75364.899999999994,77092.7,77265,78543.3,76544,79303,79717.8
E1538,E07000073,Harlow,E,SD,24285.5,24419.8,25032.1,25590,26279,26943,27386,27950,28483
E5039,E09000015,Harrow,L,OLB,79795,82000,83500,84465.5,86250,87667,87387,88785,89085
E1736,E07000089,Hart,SE,SD,37981,38487.199999999997,39444.199999999997,40392.400000000001,40704.1,41105.300000000003,41055.199999999997,41815.9,42313.3
E0701,E06000001,Hartlepool,NE,UA,22298.799999999999,23265.7,23569.5,24021,24411,24882,24384,24928,25342
E1433,E07000062,Hastings,SE,SD,24281,24678,25095,25582,25865,26197,25722,26237.020820000002,26473
E1737,E07000090,Havant,SE,SD,38846.1,39290.5,39937.1,40704,40708.300000000003,41257,41448,41771.4,41898.3
E5040,E09000016,Havering,L,OLB,83110,85474,86821,87346,88636,88883,88243,89390,90128
E1801,E06000019,Herefordshire,WM,UA,65848.3,66873,67598.2,68177.600000000006,68826,69756.3,68355.199999999997,70252.5,71073.1
E1934,E07000098,Hertsmere,E,SD,38976.300000000003,39496,40100,40695.599999999999,41274,41889.199999999997,41887.1,42800.1,43176.1
E1037,E07000037,High Peak,EM,SD,29177,29654,29990,30210,30575,30970,30904,31342.003400000001,31390
E5041,E09000017,Hillingdon,L,OLB,91200.3,95770,97220,99070,100470,102107,102071,103840.048,103625
E2434,E07000132,Hinckley and Bosworth,EM,SD,35599.599999999999,36398.6,37362,38118,38585.199999999997,38996.199999999997,38719.599999999999,39010.455000000002,39421.3
E3835,E07000227,Horsham,SE,SD,56836.4,58207.9,59630.1,60846.5,62187,63029,63115.1,64021.517999999996,64792.5
E5042,E09000018,Hounslow,L,OLB,78760.7,80169.600000000006,82599.399999999994,82848,85195.4,86251.9,85986,86769.4,89308.6
E0551,E07000011,Huntingdonshire,E,SD,58329,59358.8,60111,60984,61749,62854,63355,64501,65795
E2336,E07000120,Hyndburn,NW,SD,18844,19089,20197,20506,20934,20948,20239,21050,21944.7
E3533,E07000202,Ipswich,E,SD,36475,37046,37859,38132,38323.1,38849,38405,38920.800000000003,39163.3
E2101,E06000046,Isle of Wight Council,SE,UA,49535,50954.400000000001,52137.1,52998,53508,53842.7,53279.6,53879.901100000003,54087
E4001,E06000053,Isles of Scilly,SW,UA,1321.4,1318.6,1322,1325.3,1317,1292.7,1246.5999999999999,1242.9715000000001,1233.9
E5015,E09000019,Islington,L,ILB,72001.100000000006,75339.600000000006,77209.5,78175.8,79524.3,81221.2,77737.100000000006,80177.899999999994,81882.2
E5016,E09000020,Kensington and Chelsea,L,ILB,92778,94903,95726,96336,97428.9,97506.5,97001.3,97279.972250000006,97732.2
E2634,E07000146,Kings Lynn and West Norfolk,E,SD,47283.8,47939.9,48774.400000000001,49465.9,51178.5,51979.7,52048,52610.5,52984.4
E2002,E06000010,Kingston upon Hull,YH,UA,54756,56965,58838,60039,61465,62554,61962,63988.04567,64983
E5043,E09000021,Kingston upon Thames,L,OLB,59304,60346,61203,62327,62806.2,63853.7,62854.5,63200.2,64568.8
E4703,E08000034,Kirklees,YH,MD,111253.3,113388.9,115371.4,117770,118708.6,120827.8,119177.5,121905.96400000001,123215.8
E4301,E08000011,Knowsley,NW,MD,32617,33364,34097,35093,35821.699999999997,36755,37130,37907,38820
E5017,E09000022,Lambeth,L,ILB,97779.7,100789,103504.7,107711.7,109258.3,111520.1,110871.9,111160.7,112731.1
E2337,E07000121,Lancaster,NW,SD,38500,39700,40300,41200,41400,41700,41500,42060,42579
E4704,E08000035,Leeds,YH,MD,213814.7,218267.1,221937.7,225055.2,228209.1,231377.6,229489.2,235758.01800000001,239337.8
E2401,E06000016,Leicester,EM,UA,65903,69206,70825,71632,73894,76101,74806,77000.998500000002,79046
E1435,E07000063,Lewes,SE,SD,34979.800000000003,35797.1,36345.599999999999,37034,36760.400000000001,36811.199999999997,36711.4,36726.6,37839.4
E5018,E09000023,Lewisham,L,ILB,75526.100000000006,78528.600000000006,81087.600000000006,86456.6,88405.1,90099.3,88614.3,88904.9,88848.5
E3433,E07000194,Lichfield,WM,SD,36264,36610,36935,37359.5,38010.800000000003,39032.300000000003,38891.4,39695.1,40534.4
E2533,E07000138,Lincoln,EM,SD,22569.200000000001,23244.400000000001,23689.7,23943,24299.8,24689.5,24372.400000000001,25310,25249.5
E4302,E08000012,Liverpool,NW,MD,94459.5,102235.6,103323.6,104171,105960.2,109011.7,106968.6,108461,114506.4
E0201,E06000032,Luton,E,UA,46635.3,49151.3,49733.3,50461.1,50664.5,51828.7,51086.5,52738.1,54758.5
E2237,E07000110,Maidstone,SE,SD,56974.3,58525.4,59439.3,60921.599999999999,62033.4,63319.8,63550.1,65896.2,67161.7
E1539,E07000074,Maldon,E,SD,23041.8,23455.7,23868.7,24193.200000000001,24536.1,25090.799999999999,24959.1,25524.3,25892.3
E1851,E07000235,Malvern Hills,WM,SD,28939.7,29373.200000000001,30005.9,30461.9,30957.200000000001,31397.5,31272.1,32119.0975,32871.2
E4203,E08000003,Manchester,NW,MD,101348.2,105569.60000000001,109828.6,112964.8,116014.8,118864.6,119649.3,127620,131615.1
E3035,E07000174,Mansfield,EM,SD,27751.5,28272,28895,28905.5,29219.9,29407.7,29512.2,30557.3,30778.7
E2201,E06000035,Medway,SE,UA,80212.800000000003,81613.5,81869,83435.199999999997,84533.2,86796.9,87078.7,88041.5,89336.7
E2436,E07000133,Melton,EM,SD,17909.3,17990.2,18110.2,18379.5,18669.5,18936.8,19088.400000000001,19358.400000000001,19698.4
E5044,E09000024,Merton,L,OLB,69638,71327,72442.399999999994,74124,74951.7,75989.899999999994,74220,75754.600000000006,77694.3
E1133,E07000042,Mid Devon,SW,SD,27289.759999999998,27507,27876.1,28297.7,28596.5,29040.5,28594.400000000001,29811.424500000001,29833
E3534,E07000203,Mid Suffolk,E,SD,34911.300000000003,35336.1,35785.699999999997,36337.4,36841.4,37301.599999999999,37189.699999999997,38853.238899999997,40127
E3836,E07000228,Mid Sussex,SE,SD,56970,57975.6,59012.1,59983.3,60707.5,61711.6,62223.8,63230.6,64664.2
E0702,E06000002,Middlesbrough,NE,UA,30836,32169,32923.9,33120.699999999997,33608,34319,34484,35227.980539999997,35749
E0401,E06000042,Milton Keynes,SE,UA,78493,80360.7,81878.899999999994,82950.2,84876.800000000003,86689.9,86213.7,90364.459199999998,94196.2
E3634,E07000210,Mole Valley,SE,SD,39632,39884,40257,40324,40957,40883,40759,41308.046999999999,41483.1
E1738,E07000091,New Forest,SE,SD,69193.8,69632.3,70155.199999999997,70621,71074.399999999994,71492.899999999994,71538.7,72122.111000000004,72271.7
E3036,E07000175,Newark and Sherwood,EM,SD,36771,37378.9,37828.800000000003,38320.199999999997,38771.599999999999,39299.800000000003,40002.1,41205,41791
E4502,E08000021,Newcastle upon Tyne,NE,MD,62736,63426,64125.8,65753.899999999994,66761.2,67428.899999999994,66837.899999999994,67172,68667
E3434,E07000195,Newcastle-under-Lyme,WM,SD,35242,36078,36540,36812,37117,37387,37087,37667.966,38099
E5045,E09000025,Newham,L,OLB,67097.2,68526.8,70609.899999999994,75487.5,78906,81578.009999999995,80336.2,81872.399999999994,85787.3
E1134,E07000043,North Devon,SW,SD,31715,32210.9,32769.5,33437,33948.400000000001,34569.5,34397.9,34762.035499999998,35086
E1038,E07000038,North East Derbyshire,EM,SD,29392.9,29897.9,30182.799999999999,30656.6,30957.9,31263.3,31658.400000000001,32079.599999999999,32603.6
E2003,E06000012,North East Lincolnshire,YH,UA,40153,41325.599999999999,41890.400000000001,42614.400000000001,43240.800000000003,44327.3,44405.4,45206.860999999997,45710.4
E1935,E07000099,North Hertfordshire,E,SD,47371.5,47989.599999999999,48648.7,49118.5,49498.400000000001,49979.6,49396.9,49964.800000000003,50663.6
E2534,E07000139,North Kesteven,EM,SD,34500,35450,36250,36700,37300,37700,37700,38300,39000
E2004,E06000013,North Lincolnshire,YH,UA,45103.1,46498.1,48147.199999999997,48602.1,49442.8,49889.5,49640.3,50801,51270.5
E2635,E07000147,North Norfolk,E,SD,37274,37940,38748,39844,40621,40687,40959.199999999997,41031.9,41085.9
E2801,E06000061,North Northamptonshire,EM,UA,NA,NA,NA,NA,NA,NA,111892,113047.0021,114279
E0104,E06000024,North Somerset,SW,UA,73996.800000000003,75607.7,77204.3,78003.5,79371.8,79185.100000000006,78738.899999999994,79926.804499999998,81014.7
E4503,E08000022,North Tyneside,NE,MD,56424,56948,58202,59048,60179,61870,60941,62229,62692
E3731,E07000218,North Warwickshire,WM,SD,19686.599999999999,20008.3,20307.7,20555.900000000001,20818.2,21034.9,21071.1,21520.407999999999,21786.8
E2437,E07000134,North West Leicestershire,EM,SD,29664,30319,31262,32852,33678,34585,34841,35581,36394
E2702,E06000065,North Yorkshire,YH,UA,NA,NA,NA,NA,NA,NA,NA,NA,243033.6
E2901,E06000057,Northumberland,NE,UA,97734.3,99057.600000000006,101147.7,102668.7,104816.7,106868.9,106934.9,108605.49,110152.3
E2636,E07000148,Norwich,E,SD,33768,34322,35067,35485,36325,37003,37408,37787.977500000001,38260.1
E3001,E06000018,Nottingham,EM,UA,61047,62091,63368,65389,66766,67360,66396,67540,68403
E3732,E07000219,Nuneaton and Bedworth,WM,SD,35207.5,35706.400000000001,36345.5,37187.300000000003,37663.800000000003,38416.400000000001,38408.1,39208.5288,39224.9
E2438,E07000135,Oadby and Wigston,EM,SD,16698.900000000001,16944.2,17155.7,17257,17423.2,17520.5,17558.7,17602.099999999999,17986.7
E4204,E08000004,Oldham,NW,MD,53401,54406,54905,55666,56693,57663,57200,57450,58500
E3132,E07000178,Oxford,SE,SD,42658.6875,43665.1,44623.4,44623.4,45294.5,45895.5,45705.599999999999,45193.19,45838.1
E2338,E07000122,Pendle,NW,SD,22617.3,23171.3,23348.3,23661.5,24061.3,24257.599999999999,23898,23940.6,24776.4
E0501,E06000031,Peterborough,E,UA,52305.2,54100.4,54879,56259.3,57555.3,59093.5,59714.7,60494.8,61023.6
E1101,E06000026,Plymouth,SW,UA,68460,69846,70775.399999999994,71932,73171.8,74602.899999999994,73115,73830,74891
E1701,E06000044,Portsmouth,SE,UA,53277.2,53538.8,55329.9,55857.4,57075.4,57735.199999999997,56487.9,57209.661599999999,57480.6
E2339,E07000123,Preston,NW,SD,34629,35204,35869,37202,38482,39114,39222,39769,41098
E0303,E06000038,Reading,SE,UA,50155,51050,53671,54850,55884,56741,55847.7,57059.552799999998,57826.6
E5046,E09000026,Redbridge,L,OLB,80570.3,83336.600000000006,85627,87484,90386,91628,90275,90865,90472
E0703,E06000003,Redcar and Cleveland,NE,UA,37346,37884.699999999997,38249.300000000003,38823,39277,39840.300000000003,40001.300000000003,40336.362000000001,40706.2
E1835,E07000236,Redditch,WM,SD,24846.7,25144.5,25509.1,26058.2,26096,26276.5,26158.2,26546.6,26305
E3635,E07000211,Reigate and Banstead,SE,SD,57629.8,58301,59076,59780.800000000003,60243,61128.800000000003,60720,62274.663,63495.3
E2340,E07000124,Ribble Valley,NW,SD,21703,22024,22481,22902,23209,23623,24007,24553,24980
E5047,E09000027,Richmond upon Thames,L,OLB,85697.2,86753.1,88162.1,88770,88464.5,88742,88487,88703,89289.3
E4205,E08000005,Rochdale,NW,MD,50744,52114,53025.1,53536.800000000003,55176.2,55745,54637,56231.955000000002,57552
E1540,E07000075,Rochford,E,SD,30226.2,30566.400000000001,30855.3,31297.1,31570.1,31927.8,32051.9,32707.6145,32888.9
E2341,E07000125,Rossendale,NW,SD,19302.900000000001,19678,19998,20229,20396,20635,20380,20579.984100000001,20828
E1436,E07000064,Rother,SE,SD,35708.300000000003,36808.9,37260.9,37727,38054.1,38124.6,37606.6,38227.1,38520.7
E4403,E08000018,Rotherham,YH,MD,65477.599999999999,67149.600000000006,68235.100000000006,69240.3,70279.97,70994.7,70760.5,71454,72149
E3733,E07000220,Rugby,WM,SD,34142.5,34771.699999999997,35400.800000000003,36271.199999999997,37479.699999999997,38735.199999999997,38735.5,39485.022140000001,40434.6
E3636,E07000212,Runnymede,SE,SD,32070.2,33178.800000000003,33327.1,33489.599999999999,33409.9,34099.199999999997,33404.199999999997,34523.964,34864.6
E3038,E07000176,Rushcliffe,EM,SD,39923.1,40959.599999999999,41777,42610.1,43178.5,43987.7,44259.6,45387.6,46068.4
E1740,E07000092,Rushmoor,SE,SD,29751.5,30172.7,30424.2,30971.4,31352.2,32015.200000000001,32309.1,32795.294000000002,32959.1
E2402,E06000017,Rutland,EM,UA,14460,14738.2,15024.6,15312.9,15500.3,15652.5,15652.6,15798.9,15916.6
E4206,E08000006,Salford,NW,MD,58990,61828,63573,65187,68413,69945,68109,71905.005999999994,73859
E4604,E08000028,Sandwell,WM,MD,68103.3,69914,71217.3,72206.100000000006,74150.8,74280.899999999994,74387.8,74858.5,76764.7
E4304,E08000014,Sefton,NW,MD,78319,80806.5,81906.8,82939.5,84077.3,84904.4,82722.100000000006,84170.4,85663.6
E2239,E07000111,Sevenoaks,SE,SD,48209.1,48895.7,49382.400000000001,49902.9,50772.3,51207.9,50876.9,51514.275979999999,51990.3
E4404,E08000019,Sheffield,YH,MD,130231.4,132253.70000000001,133743.9,135890.79999999999,138744.4,140243.9,138032.6,143312.6,145489.6
E3202,E06000051,Shropshire,WM,UA,102411.33,104912.5,106565.9,109095.6,111240.1,113557.4,113689,115485.3,118106.1
E0304,E06000039,Slough,SE,UA,38462.6,40001.800000000003,41174.699999999997,41723.4,42789.8,42918.1,40828.699999999997,42286.2,43160.1
E4605,E08000029,Solihull,WM,MD,72505,73456,74971,75972,76946,77566,77190,78256.037849999993,79168
E3301,E06000066,Somerset,SW,UA,NA,NA,NA,NA,NA,NA,NA,NA,205674
E0536,E07000012,South Cambridgeshire,E,SD,59680.4,60257,60855.4,61410.2,62576.3,63617.599999999999,64372.5,65432,67330.7
E1039,E07000039,South Derbyshire,EM,SD,30608,30990,31647.3,32467,33302,34474,35218,36702,37662.6
E0103,E06000025,South Gloucestershire,SW,UA,87715,90205,90777,92630.9,94610.6,96745,98044,100143.0205,101695
E1136,E07000044,South Hams,SW,SD,36606.9,37004,37379.599999999999,37851.9,38179.699999999997,38508.5,38298.400000000001,39139.702749999997,39949
E2535,E07000140,South Holland,EM,SD,25767,26531,26892,27302.400000000001,27931,28492,28794,29393,29841
E2536,E07000141,South Kesteven,EM,SD,44753.2,45440.4,46119.4,46519.3,47125.7,47917.4,48122.400000000001,48706.7,49329
E2637,E07000149,South Norfolk,E,SD,44538,45353,47120,48259,49138,49966,50233,51430,52335
E3133,E07000179,South Oxfordshire,SE,SD,54233.599999999999,54965,55557.2,56163.3,56793.3,57848.5,59171.199999999997,60343.732000000004,61349.5
E2342,E07000126,South Ribble,NW,SD,34454.5,34815.599999999999,35287.599999999999,35540.800000000003,35787.4,36073.699999999997,36219.4,36584.9,37153.3
E3435,E07000196,South Staffordshire,WM,SD,36942.1,37146.9,37576.6,37785.1,38090.1,38355.9,38664.300000000003,39066.199999999997,39608.6
