ecode,onscode,authority.x,region,class.x,tstb_1516,tstb_1617,tstb_1718,tstb_1819,tstb_1920,tstb_2021,tstb_2122,tstb_2223,tstb_2324
E1437,E07000065,Wealden,SE,SD,61204.5,62920.5,63196.6,63937.599999999999,65057.2,65674.2,66429.600000000006,67187.933499999999,67793.2
E1940,E07000241,Welwyn Hatfield,E,SD,38972.300000000003,39470.1,40324.199999999997,41363.199999999997,41889.599999999999,42590,43462.400000000001,43497.638800000001,43867
E0302,E06000037,West Berkshire,SE,UA,62083.1,62626.1,64084.2,64890.7,65021.5,65205.9,65343.7,66310.2,67392.5
E1140,E07000047,West Devon,SW,SD,19457,19733.400000000001,19948.8,20117.900000000001,20176.599999999999,20271.7,20239.5,20687.8,21225.9
E2343,E07000127,West Lancashire,NW,SD,33587.599999999999,34021,34390.199999999997,34827.9,35256.300000000003,35978.9,36774.1,37669.699999999997,38095.8
E2537,E07000142,West Lindsey,EM,SD,28224.1,28878.7,28959.5,29224.1,29532.799999999999,29987,30128.400000000001,31038.5,31696.8
E2802,E06000062,West Northamptonshire,EM,UA,NA,NA,NA,NA,NA,NA,137520.20000000001,139604,142060.8
E3135,E07000181,West Oxfordshire,SE,SD,41175.800000000003,41512,42580.7,42920.7,43593.599999999999,44285.2,44917.9,46172.446499999998,47078.8
E3539,E07000245,West Suffolk,E,SD,NA,NA,NA,NA,55056.1,56138.1,55340,57406.3,57987
E5022,E09000033,Westminster,L,ILB,121890.8,125181.1,126975.6,128833.3,130319.7,132698.29999999999,133817.9,135056.29999999999,135955.4
E0902,E06000064,Westmorland and Furness,NW,UA,NA,NA,NA,NA,NA,NA,NA,NA,87714.7
E4210,E08000010,Wigan,NW,MD,85227,85921,87787,89249,90413,92200,92600,94100,96500
E3902,E06000054,Wiltshire,SW,UA,170842.5,176780.3,177805.1,182705.4,186013,187935.7,187517.4,189964.3,193142.9
E1743,E07000094,Winchester,SE,SD,46450.400000000001,46835.199999999997,47794.3,48389.9,49307.5,49960.2,50810.5,51554.096599999997,52626.8
E0305,E06000040,Windsor and Maidenhead,SE,UA,64107.199999999997,65696.600000000006,66709.600000000006,67617.899999999994,68352.800000000003,68690.899999999994,69179.5,69736.266499999998,70250.2
E4305,E08000015,Wirral,NW,MD,89344.9,90481.9,91309.5,92255.9,93497.8,93965.9,94198.6,95172.389550000007,95585.1
E3641,E07000217,Woking,SE,SD,39355.5,39862,40521,41030,41323,41579.800000000003,40343,41519,42611
E0306,E06000041,Wokingham,SE,UA,65157.2,66001.399999999994,67433.399999999994,68669.100000000006,70176.600000000006,72036.5,73297.100000000006,74946.3,76247.1
E4607,E08000031,Wolverhampton,WM,MD,59104,60405.9,61397.5,62959.199999999997,63996.4,64726.8,63580.5,64936.9,65994.1
E1837,E07000237,Worcester,WM,SD,30023,30643,31141,31528.5,31898,32242.799999999999,32121.9,32528.195,32954
E3837,E07000229,Worthing,SE,SD,36564.400000000001,37360.300000000003,37829.300000000003,38365.9,38504.199999999997,39269.5,39131,39610.5,39364.6
E1838,E07000238,Wychavon,WM,SD,45884.3,47158,48704.3,49435.6,50322.1,51834.5,51708.2,52818.6,52435.5
